"cd_capoconto_fin","ds_capoconto_fin","dacr","utcr","duva","utuv","pg_ver_rec"
"J","Spese non classificabili in altre voci","2011-02-21T16:45:34.000","ANGELINI","2011-02-21T16:45:34.000","ANGELINI","1"
"B","Spese per il personale","2001-12-26T15:22:47.000","CIN9990000T","2001-12-26T15:22:47.000","CIN9990000T","1"
"A","Spese per gli organi dell'ente","2001-12-20T16:21:47.000","CIN9990000T","2001-12-20T16:21:47.000","CIN9990000T","1"
"C","Beni di consumo e servizi","2001-12-26T15:23:12.000","CIN9990000T","2001-12-26T15:23:12.000","CIN9990000T","1"
"D","Borse di studio e dottorati","2001-12-26T15:23:44.000","CIN9990000T","2001-12-26T15:23:44.000","CIN9990000T","1"
"E","Promozione, sviluppo e valorizzazione del Sistema nazionale di ricerca","2001-12-26T15:24:18.000","CIN9990000T","2001-12-26T15:24:18.000","CIN9990000T","1"
"F","Convenzioni","2001-12-26T15:24:36.000","CIN9990000T","2001-12-26T15:24:36.000","CIN9990000T","1"
"G","Partecipazioni","2001-12-26T15:24:53.000","CIN9990000T","2001-12-26T15:24:53.000","CIN9990000T","1"
"H","Attivita internazionali","2001-12-26T15:25:35.000","CIN9990000T","2001-12-26T15:25:35.000","CIN9990000T","1"
"I","Oneri tributari","2001-12-26T15:25:52.000","CIN9990000T","2001-12-26T15:25:52.000","CIN9990000T","1"
"L","Oneri finanziari","2001-12-26T15:26:09.000","CIN9990000T","2001-12-26T15:26:09.000","CIN9990000T","1"
"M","Opere immobiliari ed acquisizione di beni di uso durevole","2001-12-26T15:26:42.000","CIN9990000T","2015-10-21T12:57:19.000","AGUSTIN","2"
"N","Partecipazioni","2001-12-26T15:27:03.000","CIN9990000T","2001-12-26T15:27:03.000","CIN9990000T","1"
"O","Indennita di anzianita","2001-12-26T15:27:30.000","CIN9990000T","2001-12-26T15:27:30.000","CIN9990000T","1"
"P","Depositi definitivi","2001-12-26T15:27:52.000","CIN9990000T","2001-12-26T15:27:52.000","CIN9990000T","1"
"Q","Rimborso prestiti","2001-12-26T15:28:14.000","CIN9990000T","2001-12-26T15:28:14.000","CIN9990000T","1"
