"cd_categoria_gruppo","ds_categoria_gruppo","fl_gestione_inventario","fl_gestione_magazzino","fl_ammortamento","cd_proprio","livello","data_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec","cd_categoria_padre","fl_gestione_targa","fl_gestione_seriale"
"3.5161","MACINE","Y","Y","Y","5161","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5201","MANOMETRI","Y","Y","Y","5201","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5241","MANTELLI RISCALDANTI","Y","Y","Y","5241","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.3724","MARTINETTI","Y","Y","Y","3724","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7681","STABILIZZATORI","Y","Y","Y","7681","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.00","MATERIALE SCIENTIFICO,DI LABORATORIO,ATTREZZATURE TECNICHE E DIDA","Y","Y","Y","00","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7641","SQUADRE","Y","Y","Y","7641","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.2642","MICROCENTRIFUGHE","Y","Y","Y","2642","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.8182","STUFE TERMOSTATICHE","Y","Y","Y","8182","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5401","MICROFONI PER MISURAZIONI ACUSTICHE","Y","Y","Y","5401","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5281","MICROMANIPOLATORI","Y","Y","Y","5281","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5481","MODULI ELETTRONICI","Y","Y","Y","5481","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5321","MICROMETRI","Y","Y","Y","5321","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5440","MICROSCOPI","Y","Y","Y","5440","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5441","MICROSCOPI ELETTRONICI","Y","Y","Y","5441","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5442","MICROSCOPI OTTICI","Y","Y","Y","5442","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5461","MOBILI VARI DA LABORATORIO","Y","Y","Y","5461","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5361","MICROTOMI","Y","Y","Y","5361","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.1503","MISURATORI DI TERRA","Y","Y","Y","1503","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.6683","MENSOLE PER LABORATORIO","Y","Y","Y","6683","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5001","LENTI","Y","Y","Y","5001","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.8040","TAVOLI OPERATORI E SIMILARI","Y","Y","Y","8040","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.4881","LANTERNE","Y","Y","Y","4881","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.4921","LASER","Y","Y","Y","4921","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.8041","TAVOLI OPERATORI","Y","Y","Y","8041","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.4523","ACCESSORI PER CROMATOGRAFI E GASCROMATOGRAFI","Y","Y","Y","4523","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.1163","VIDEOREGISTRATORI","Y","Y","Y","1163","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.8001","TAVOLI ANTIVIBRANTI","Y","Y","Y","8001","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.4961","LAVATRICI","Y","Y","Y","4961","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.4960","LAVATRICI E LAVAVETRERIE","Y","Y","Y","4960","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.4962","LAVAVETRERIE","Y","Y","Y","4962","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5521","MONOCROMATORI","Y","Y","Y","5521","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7961","TAVOLE ORTOGONALI","Y","Y","Y","7961","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7761","STROBOSCOPI","Y","Y","Y","7761","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5041","LEVIGATRICI","Y","Y","Y","5041","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7881","TAGLIERINE","Y","Y","Y","7881","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5081","LIOFILIZZATORI","Y","Y","Y","5081","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5121","LIQUEFATTORI D'ARIA","Y","Y","Y","5121","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.5122","LIQUEFATTORI PER GAS VARI","Y","Y","Y","5122","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.522","LIVELLE","Y","Y","Y","522","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7921","TAGLIAUNGHIE PER ANIMALI","Y","Y","Y","7921","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.1482","TAGLIATUBI","Y","Y","Y","1482","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7800","SUPPORTI E SOSTEGNI","Y","Y","Y","7800","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7801","SUPPORTI","Y","Y","Y","7801","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.7721","STAZIONI PER PRELIEVO CAMPIONI D'ACQUA","Y","Y","Y","7721","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"3.8642","LAVELLI","Y","Y","Y","8642","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","3","N","N"
"6.1002","NATANTI.","Y","Y","Y","1002","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","6","Y","N"
"6.9991","TRASFERIMENTO BENI MOBILI DA ALTRI CONSEGNATARI","Y","Y","Y","9991","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","6","Y","N"
"6.1001","AUTOMEZZI.","Y","Y","Y","1001","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","6","Y","N"
"6.1000","AUTOVEICOLI, VELIVOLI, NATANTI ED ALTRI BENI ISCRITTI NEI P.R.","Y","Y","Y","1000","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2001-10-08T16:13:54.000","SYSTEM","1","6","Y","N"
"0.2.1","Mobili, arredi, accessori","N","Y","N","2.1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.2.2","Mezzi di trasporto","N","Y","N","2.2","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.2.3","Riscaldamento","N","Y","N","2.3","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.2.4","Verifiche e manutenzioni su altri beni","N","Y","N","2.4","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.3.1","Gas","N","Y","N","3.1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.3.2","Energia elettrica","N","Y","N","3.2","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.7.1","Canoni e spese noleggio hardware","N","Y","N","7.1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.7.2","Canoni e spese noleggio macchinari e attrezzature","N","Y","N","7.2","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.7.3","Canoni e spese noleggio apparecchi telefonici","N","Y","N","7.3","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.7.4","Locazioni e spese complementari beni immobili","N","Y","N","7.4","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.7.5","Locazioni e spese complementari automezzi","N","Y","N","7.5","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.7.6","Locazioni e spese complementari attrezzature","N","Y","N","7.6","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.8.1","Buoni pasto","N","Y","N","8.1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.8.2","Assistenza sanitaria","N","Y","N","8.2","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.8.3","Traslochi e trasporti","N","Y","N","8.3","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-04-05T16:03:51.000","FIORETTOT","1","0","N","N"
"0.8.4","Sussidi","N","Y","N","8.4","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.8.5","Premi indennizzi","N","Y","N","8.5","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.8.6","Contributi aggiuntivi","N","Y","N","8.6","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.8.7","Interventi assistenziali diversi","N","Y","N","8.7","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"0.8.8","Mense aziendali e servizi sostitutivi","N","Y","N","8.8","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","0","N","N"
"6.1.1","Altri mezzi di trasporto","Y","Y","Y","1.1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","6","Y","N"
"6.1.2","Mezzi speciali","Y","Y","Y","1.2","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-08T11:22:41.000","SYSTEM","1","6","Y","N"
"8.10","Prodotti Software e licenze","N","Y","N","10","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-01-22T15:58:25.000","SYSTEM","1","8","N","N"
"0.8.9","Servizi di catering","N","Y","N","8.9","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-02-07T12:19:11.000","SYSTEM","1","0","N","N"
"0.5.1","Licenza d'uso","N","Y","N","5.1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-03-14T14:11:48.000","FIORETTOT","1","0","N","N"
"0.5.2","Accesso base dati","N","Y","N","5.2","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-03-14T14:11:48.000","FIORETTOT","1","0","N","N"
"0.5.3","Recupero documenti originali","N","Y","N","5.3","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-03-14T14:11:48.000","FIORETTOT","1","0","N","N"
"1.2202","PORTASACCHI","Y","Y","Y","2202","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-07-25T10:57:40.000","SYSTEM","1","1","N","N"
"3.9001","PALETTI PARAPEDONALI","Y","Y","Y","9001","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2002-07-25T11:20:45.000","SYSTEM","1","3","N","N"
"1.5043","MIGRAZIONE","Y","Y","Y","5043","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2003-03-27T00:00:00.000","MIGRA","1","1","N","N"
"1.9991","MIGRAZIONE","Y","Y","Y","9991","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2003-03-27T00:00:00.000","MIGRA","1","1","N","N"
"10.1","FABBRICATI","Y","Y","Y","1","1","NULL","2017-05-19T14:38:37.000","MIGRAZIONE","2004-03-31T08:42:35.000","MATRASCIA","1","10","N","N"
