"esercizio","cd_causale_coge","ds_causale","ti_causale_coge","centro_costo","dt_cancellazione","dacr","duva","utuv","utcr","pg_ver_rec"
"2008","LIQUID_IVA_SALDO","Liquidazione IVA saldo versato","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2008","CARICO_BENE_DUREVOLE","Carico di bene durevole","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2008","MIGRAZIONE_BENI","Migrazione beni durevoli","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2008","DISMISSIONE_BENE_DUREVOLE_TRASF","Dismissione di bene durevole da trasferimento","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2008","CARICO_BENE_DUREVOLE_TRASF","Carico di bene durevole da trasferimento","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2008","ANNULLAMENTO_RIGHE_DOC_ESERCIZIO_CHIUSO","Annullamento di righe di documento amministrativo di esercizio chiuso","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2008","RATEI_QUOTA","Ratei (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2008","RATEI_QUOTA_P2","Ratei parte 2 (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2009","RATEI_QUOTA","Ratei (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2009","RATEI_QUOTA_P2","Ratei parte 2 (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2007","RATEI_QUOTA","Ratei (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2007","RATEI_QUOTA_P2","Ratei parte 2 (competenza parzialmente in esercizio precedente)","A","NULL","NULL","2007-10-10T15:38:42.000","2007-10-10T15:38:42.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","DISMISSIONE_BENE_DUREVOLE","Dismissione di bene durevole","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","PERDITE_SU_CAMBI","Perdite su cambi per crediti/debiti","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","RATEI","Ratei","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","RATEI_P2","Ratei parte 2","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","RIAPERTURA_CONTI","Riapertura dei conti","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","RISCONTI","Risconti","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","RISCONTI_P2","Risconti parte 2","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","UTILE_SU_CAMBI","Utile su cambi per crediti/debiti","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","PAGAMENTO_1210","Pagamento documento con modulo 1210","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","CASSA_BANCA","Scrittura cassa banca","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","LIQUID_IVA_VENDITE","Liquidazione IVA vendite","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","LIQUID_IVA_ACQUISTI","Liquidazione IVA acquisti","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","LIQUID_IVA_SALDO","Liquidazione IVA saldo versato","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","CARICO_BENE_DUREVOLE","Carico di bene durevole","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
"2011","MIGRAZIONE_BENI","Migrazione beni durevoli","A","NULL","NULL","2010-12-21T22:04:46.000","2010-12-21T22:04:46.000","$$$$RIBALTAMENTO$$$$","$$$$RIBALTAMENTO$$$$","1"
