"cd_centro_responsabilita","cd_unita_organizzativa","ds_cdr","livello","cd_proprio_cdr","cd_responsabile","indirizzo","dacr","utcr","duva","utuv","pg_ver_rec","cd_cdr_afferenza","esercizio_fine","esercizio_inizio"
"001.000.000","001.000","DRAG - Direzione centrale affari generali","1","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","NULL","2100","2017"
"000.000.000","000.000","DRUE - Direzione centrale risorse umane ed economiche","1","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","NULL","2100","2017"
"000.001.000","000.001","PRE - Presidenza","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.002.000","000.002","DG - Direzione Generale","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.003.000","000.003","ORG - Organi","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.004.000","000.004","CNS - Centro nazionale sangue","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.005.000","000.005","CNT - Centro nazionale trapianti","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.006.000","000.006","DAMSA - Dipartimento ambiente e salute","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.007.000","000.007","MACA - Dipartimento malattie cardiovascolari, dismetaboliche e dell'invecchiamento","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
"000.008.000","000.008","DMI - Dipartimento malattie infettive","2","000","1","NULL","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2017-05-05T00:00:00.000","$$$$$MIGRAZIONE$$$$$","0","000.000.000","2100","2017"
