"cd_classific_anag","dt_canc","dacr","utcr","duva","utuv","pg_ver_rec","ds_classific_anag"
"OUT","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2006-08-01T12:49:52.000","MATRASCIA","1","TERZI DIVERSI DA FORNITORI"
"SC","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2011-10-11T15:28:56.000","FIORETTOT","1","SOCIETA' COOPERATIVA"
"SPA","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:44.000","SYSTEM","1","Societ? per azioni"
"SAS","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:44.000","SYSTEM","1","Societ? accomandita semplice"
"SRL","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:45.000","SYSTEM","1","Societ? responsabilit? limitat"
"SNC","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:45.000","SYSTEM","1","Societ? nome colletivo"
"PAM","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:45.000","SYSTEM","1","Pubblica amministrazioni"
"LOC","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:45.000","SYSTEM","1","Ente Locale"
"PEF","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:45.000","SYSTEM","1","Persona fisica"
"ORG","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-01-29T11:52:07.000","SYSTEM","1","ORGANO COMUNITARIO"
"ASL","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:50.000","SYSTEM","1","Azienda sanitaria ospedaliera"
"XXX","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-08-30T15:34:51.000","SYSTEM","1","Generica"
"ENT","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-12-12T14:55:35.000","SYSTEM","1","Ente"
"IND","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2001-12-12T14:55:35.000","SYSTEM","1","Ditta Individuale"
"CONS","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-01-22T14:07:04.000","SYSTEM","1","CONSORZIO"
"COOP","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-01-22T14:07:04.000","SYSTEM","1","COOPERATIVA"
"FIL","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-01-22T16:09:04.000","SYSTEM","1","FILIALE DI SOCIETA ESTERA"
"ASS","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-01-25T10:50:48.000","SYSTEM","1","ASSOCIAZIONE"
"IRCCS","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-02-18T15:04:10.000","FIGLIOLIC","1","ISTITUTO DI RICOVERO E CURA"
"OMS","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-02-18T15:19:52.000","FIGLIOLIC","1","ORGANIZZAZIONE MOND. SANITA'"
"FOND","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-02-25T11:46:12.000","SYSTEM","1","FONDAZIONE"
"INRCA","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2002-02-26T14:43:06.000","RICCIP","1","ISTITUTO NAZ. DI RIPOSO E CURA"
"SCARL","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2003-02-03T15:21:19.000","MODIFICA1","1","SOC.  CONS. RESP. LIMITATA"
"PDA","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2003-06-19T09:56:36.000","FIORETTOT","1","AnagrPrest.art.53 D.Lgs.165/01"
"UNIV","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2004-02-20T17:21:31.000","ROSATI","1","UNIVERSITA'"
"SCRL","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2004-10-04T15:01:13.000","MODIFICA1","1","Soc coop a resp limit"
"AGR","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2005-02-02T16:52:10.000","MARCHESER","1","AGENZIA REGIONALE"
"SCPA","NULL","2017-07-11T15:44:18.000","MIGRAZIONE","2006-05-18T12:36:55.000","MARCHESER","1","SOCIETA' CONSORTILE PER AZIONI"
