"cd_classificazione_cori","ds_classificazione_cori","dacr","utcr","duva","utuv","pg_ver_rec"
"C1","ADDIZIONALE COMUNALE ACCONTO","2007-02-27T17:13:36.000","CED","2007-02-27T17:13:36.000","CED","1"
"FI","FISCALE","2002-08-19T16:38:54.000","$$$$$MIGRAZIONE$$$$$","2002-08-19T16:38:54.000","$$$$$MIGRAZIONE$$$$$","1"
"PR","PREVIDENZIALE","2002-08-19T16:38:54.000","$$$$$MIGRAZIONE$$$$$","2002-08-19T16:38:54.000","$$$$$MIGRAZIONE$$$$$","1"
"IP","IRAP","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","1"
"R0","ADDIZIONALE REGIONALE","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","1"
"P0","ADDIZIONALE PROVINCIALE","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","1"
"C0","ADDIZIONALE COMUNALE","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","1"
"IL","INAIL","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","1"
"IV","IVA","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","2002-06-20T15:14:07.000","$$$$$MIGRAZIONE$$$$$","1"
"RV","RIVALSA","2002-09-12T15:14:07.000","$$$$$MIGRAZIONE$$$$$","2002-09-12T15:14:07.000","$$$$$MIGRAZIONE$$$$$","1"
"ST","SPECIALE STIPENDI","2003-01-20T00:00:00.000","$$$$$CINECA$$$$$","2003-01-20T00:00:00.000","$$$$$CINECA$$$$$","1"
"R9","ADDIZIONALE REGIONALE ADDEBITO RATEIZZAZIONE","2003-12-02T17:13:36.000","$$$$$MIGRAZIONE$$$$$","2003-12-02T17:13:36.000","$$$$$MIGRAZIONE$$$$$","1"
"P9","ADDIZIONALE PROVINCIALE ADDEBITO RATEIZZAZIONE","2003-12-02T17:13:36.000","$$$$$MIGRAZIONE$$$$$","2003-12-02T17:13:36.000","$$$$$MIGRAZIONE$$$$$","1"
"C9","ADDIZIONALE COMUNALE ADDEBITO RATEIZZAZIONE","2003-12-02T17:13:36.000","$$$$$MIGRAZIONE$$$$$","2003-12-02T17:13:36.000","$$$$$MIGRAZIONE$$$$$","1"
