"table_name","bulk_name","package_name","modulo"
"UNITA_OPERATIVA_ORD","UnitaOperativaOrd","it.cnr.contab.ordmag.anag00","sigla-ejb"
"RICHIESTA_UOP","RichiestaUop","it.cnr.contab.ordmag.richieste.bulk","sigla-ejb"
"RICHIESTA_UOP_RIGA","RichiestaUopRiga","it.cnr.contab.ordmag.richieste.bulk","sigla-ejb"
"ORDINE_ACQ","OrdineAcq","it.cnr.contab.ordmag.ordini","sigla-ejb"
"ORDINE_ACQ_CONSEGNA","OrdineAcqConsegna","it.cnr.contab.ordmag.ordini","sigla-ejb"
"EVASIONE_ORDINE_RIGA","EvasioneOrdineRiga","it.cnr.contab.ordmag.ordini.bulk","TEST"
"FATTURA_ORDINE","FatturaOrdine","it.cnr.contab.ordmag.ordini.bulk","TEST"
"LOTTO_MAG","LottoMag","it.cnr.contab.ordmag.richieste","sigla-ejb"
"BOLLA_SCARICO_MAG","BollaScaricoMag","it.cnr.contab.ordmag.magazzino.bulk","sigla-ejb"
"MOVIMENTI_MAG","MovimentiMag","it.cnr.contab.ordmag.magazzino.bulk","sigla-ejb"
"BOLLA_SCARICO_RIGA_MAG","BollaScaricoRigaMag","it.cnr.contab.ordmag.magazzino.bulk","sigla-ejb"
"TIPO_MOVIMENTO_MAG_AZ","TipoMovimentoMagAz","it.cnr.contab.ordmag.anag00","sigla-ejb"
"MAGAZZINO","Magazzino","it.cnr.contab.ordmag.anag00","sigla-ejb"
"NUMERAZIONE_MAG","NumerazioneMag","it.cnr.contab.ordmag.anag00","sigla-ejb"
"BENE_SERVIZIO_TIPO_GEST","BeneServizioTipoGest","it.cnr.contab.ordmag.anag00","sigla-ejb"
"ABILIT_BENE_SERV_MAG","AbilitBeneServMag","it.cnr.contab.ordmag.anag00","sigla-ejb"
"UNITA_MISURA_COEFF_MAG","UnitaMisuraCoeffMag","it.cnr.contab.ordmag.anag00","sigla-ejb"
"EVASIONE_ORDINE","EvasioneOrdine","it.cnr.contab.ordmag.ordini.bulk","TEST"
"GRUPPO_MERCEOLOGICO","GruppoMerceologico","it.cnr.contab.ordmag.anag00","sigla-ejb"
"UNITA_MISURA","UnitaMisura","it.cnr.contab.ordmag.anag00","sigla-ejb"
"TIPO_ARTICOLO","TipoArticolo","it.cnr.contab.ordmag.anag00","sigla-ejb"
"ASS_UNITA_OPERATIVA_ORD","AssUnitaOperativaOrd","it.cnr.contab.ordmag.anag00","sigla-ejb"
"RAGGR_MAGAZZINO","RaggrMagazzino","it.cnr.contab.ordmag.anag00","sigla-ejb"
"ABI","Abi","it.cnr.contab.anagraf00.bulk","SIGLAEJB"
"CAUSALE_SPESA_ORD","CausaleSpesaOrd","it.cnr.contab.ordmag.anag00","sigla-ejb"
"NOTA_PRECODIFICATA","NotaPrecodificata","it.cnr.contab.ordmag.anag00","sigla-ejb"
"NUMERAZIONE_ORD","NumerazioneOrd","it.cnr.contab.ordmag.anag00","sigla-ejb"
"ABIL_UTENTE_UOP_OPER","AbilUtenteUopOper","it.cnr.contab.ordmag.anag00","sigla-ejb"
"ABIL_UTENTE_UOP_OPER_MAG","AbilUtenteUopOperMag","it.cnr.contab.ordmag.anag00","sigla-ejb"
"ORDINE_ACQ_RIGA","OrdineAcqRiga","it.cnr.contab.ordmag.ordini","sigla-ejb"
"TIPO_ORDINE","TipoOrdine","it.cnr.contab.ordmag.ordini","sigla-ejb"
"TIPO_OPERAZIONE_ORD","TipoOperazioneOrd","it.cnr.contab.ordmag.anag00","sigla-ejb"
"TIPO_MOVIMENTO_MAG","TipoMovimentoMag","it.cnr.contab.ordmag.anag00","sigla-ejb"
"LUOGO_CONSEGNA_MAG","LuogoConsegnaMag","it.cnr.contab.ordmag.anag00","sigla-ejb"
"CAUSALE_ANNULL_ORD","CausaleAnnullOrd","it.cnr.contab.ordmag.anag00","sigla-ejb"
