"cd_piano_gruppi","cd_gruppo_ep","cd_gruppo_padre","sequenza","nome","ds_gruppo_ep","segno","fl_mastrino","duva","utuv","dacr","utcr","pg_ver_rec","cd_piano_padre","formula"
"CE","B13","B","255","13)","Oneri diversi di gestione","-","Y","2012-01-20T00:00:00.000","CED_RP","2004-05-20T00:00:00.000","CED_SF","1","CE","NULL"
"SPATT","AII6","AII","173","6","Imbarcazioni e velivoli","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AII7","AII","176","7","Immobilizzazioni in corso e acconti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","TC","NULL","565","NULL","Totale Ratei e Risconti (C)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPATT,C1}[+]{SPATT,C2}"
"SPATT","E","NULL","610","NULL","Consistenza affidata in deposito al C.N.R.","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","TC","NULL","175","NULL","Totale Fondo Trattamento di Fine Rapporto (C)","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","[+]{SPPAS,C}"
"SPPAS","F","NULL","410","NULL","Debito del C.N.R. verso enti depositanti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","NULL","NULL"
"SPPAS","AII","A","25","II","Avanzo economico esercizi precedenti","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPPAS","NULL"
"SPATT","AI","A","30","I","Immateriali:","+","N","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
"SPATT","AI2","AI","61","2","Altre immobilizzazioni immateriali","+","Y","2004-05-20T00:00:00.000","CED_SF","2004-05-20T00:00:00.000","CED_SF","1","SPATT","NULL"
