"altra_ass_previd_inps","ds_altra_ass_previd_inps","fl_cancellato","dacr","utcr","duva","utuv","pg_ver_rec"
"002","TITOLARI DI PENSIONE DIRETTA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"107","FONDI SPECIALI","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"401","DIRIGENTI D'AZIENDA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"501","LAVORATORI DELLO SPETTACOLO","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"601","LAVORATORI POSTE ITALIANE S.P.A.","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"001","PENSIONATI DI TUTTI GLI ENTI PENSIONISTICI OBBLIGATORI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"101","FONDO PENSIONI LAVORATORI DIPENDENTI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"102","ARTIGIANI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"103","COMMERCIANTI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"104","COLTIVATORI DIRETTI, MEZZADRI E COLONI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2005-05-10T00:00:00.000","CED","2"
"105","VERSAMENTI VOLONTARI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"106","VERSAMENTI FIGURATIVI (CIG, ecc.)","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"201","DIPENDENTI ENTI LOCALI E DIPENDENTI DELLE AMMINISTRAZIONI DELLO STATO","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
"301","DOTTORI COMMERCIALISTI","N","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:05:36.000","$$$$$MIGRAZIONE$$$$$","1"
