"cd_attivita_inps","ds_attivita_inps","fl_cancellato","dacr","utcr","duva","utuv","pg_ver_rec"
"01","ATTIVITA' DI TRADUZIONE E INTERPRETARIATO","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"02","ATTIVITA' DI TRASPORTI O SPEDIZIONI O RECAPITI","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"03","ATTIVITA' NEL CAMPO IMMOBILIARE","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"04","ATTIVITA' NEL CAMPO ASSICURATIVO","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"05","ATTIVITA' DI FORMAZIONE, ISTRUZIONE, ADDESTRAMENTO","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"06","ATTIVITA' DI RECUPERO CREDITI, INTERMEDIAZIONE, NOTIFICA ATTI","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"07","ATTIVITA' NEL SETTORE DELLA MODA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"08","SOCIO LAVORATORE DI COOPERATIVA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"09","CONSULENZA AZIENDALE","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"10","CONSULENZA FISCALE","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"11","ATTIVITA' AMMINISTRATIVO, CONTABILE","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"12","ATTIVITA' INFORMATICA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"13","ATTIVITA' FINANZIARIA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"14","ATTIVITA' PER MOSTRE, MERCATI, FIERE, VETRINE, ECC.","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"15","ATTIVITA' NEL SETTORE DELL'IGIENE E DELLA SALUTE E SICUREZZA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"16","ATTIVITA' DI MARKETING, PUBBLICITA' E STATISTICA","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"17","ATTIVITA' DIVERSA DALLE PRECEDENTI","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"18","ATTIVITA' NEI CALL CENTER (msg. n.4148 del 13/02/2007)","N","2007-02-15T00:00:00.000","CED","2007-02-15T00:00:00.000","CED","1"
"19","LAVORATORI EX LSU UTILIZZATI NEGLI ISTITUTI SCOLASTICI E STABILIZZATI CON CONTRATTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA","N","2009-02-04T00:00:00.000","CED","2009-02-04T00:00:00.000","CED","1"
