"cd_rapporto_inps","ds_rapporto_inps","fl_attivita_obbl","fl_cancellato","dacr","utcr","duva","utuv","pg_ver_rec"
"01","AMMINISTRATORE, SINDACO, REVISORE DI SOCIETA', ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALITA' GIURIDICA","N","Y","2005-05-10T00:00:00.000","CED","2010-02-01T00:00:00.000","CED","2"
"02","COLLABORATORE DI GIORNALI, RIVISTE, ENCICLOPEDIE E SIMILI","N","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"03","PARTECIPANTE A COLLEGI E COMMISSIONI","N","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"04","AMMINISTRATORE DI ENTI LOCALI (D.M. 25.5.2001)","N","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"05","DOTTORATO DI RICERCA, ASSEGNO, BORSA DI STUDIO EROGATA DA MIUR","N","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"06","COLLABORATORE COORDINATO E CONTINUATIVO (CON CONTRATTO A PROGETTO/PROGRAMMA DI LAVORO O FASE DI ESSO)","Y","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"07","VENDITORE PORTA A PORTA","N","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"08","COLLABORAZIONI OCCASIONALI (ART.61 C.2 D. LEGISLATIVO 276/2003)","Y","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"09","RAPPORTI OCCASIONALI AUTONOMI (D. LEGISLATIVO 326/2003)","N","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"10","COLLABORAZIONI COORDINATE E CONTINUATIVE DEI TITOLARI DI PENSIONE DI VECCHIAIA O ULTRESESSANTACINQUENNI","Y","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"11","COLLABORAZIONI COORDINATE E CONTINUATIVE PRESSO LA PUBBLICA AMMINISTRAZIONE","Y","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"12","RAPPORTI DI COLLABORAZIONE COORDINATA E CONTINUATIVA PROROGATI (CON DURATA NON SUPERIORE AL 24/10/2005)","Y","N","2005-05-10T00:00:00.000","CED","2005-05-10T00:00:00.000","CED","1"
"1A","AMMINISTRATORE DI SOCIET?, ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALIT? GIURIDICA","N","N","2010-02-01T00:00:00.000","CED","2010-02-01T00:00:00.000","CED","1"
"1B","SINDACO DI SOCIET?, ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALIT? GIURIDICA","N","N","2010-02-01T00:00:00.000","CED","2010-02-01T00:00:00.000","CED","1"
"1C","REVISORE DI SOCIET?, ASSOCIAZIONI E ALTRI ENTI CON O SENZA PERSONALIT? GIURIDICA","N","N","2010-02-01T00:00:00.000","CED","2010-02-01T00:00:00.000","CED","1"
"1D","LIQUIDATORE DI SOCIET?","N","N","2010-02-01T00:00:00.000","CED","2010-02-01T00:00:00.000","CED","1"
"1E","AMMINISTRATORE E AL CONTEMPO LEGALE RAPPRESENTANTE IN CARICA","N","N","2012-01-23T00:00:00.000","CED","2012-01-23T00:00:00.000","CED","1"
"17","CONSULENTE PARLAMENTARE","N","N","2012-01-23T00:00:00.000","CED","2012-01-23T00:00:00.000","CED","1"
"13","ASSOCIATI IN PARTECIPAZIONE","N","N","2007-02-15T00:00:00.000","CED","2007-02-15T00:00:00.000","CED","1"
"14","MEDICI IN FORMAZIONE SPECIALISTICA (Circ. INPS n.37/2007). DECORRENZA 11/2006","N","N","2007-02-15T00:00:00.000","CED","2007-02-15T00:00:00.000","CED","1"
"15","VOLONTARI DEL SERVIZIO CIVILE (Circ. INPS n.55 DEL 30/04/2008). DECORRENZA 1/2006","N","N","2009-02-04T00:00:00.000","CED","2009-02-04T00:00:00.000","CED","1"
