"esercizio","cd_incoterm","cd_gruppo","ds_condizione_consegna","dacr","utcr","duva","utuv","pg_ver_rec"
"2018","CFR","C","Costo e nolo","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","CIF","C","Costo, assicurazione e nolo","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","CIP","C","Trasporto e assicurazione pagati fino a ...","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","CPT","C","Trasporto pagato fino a ...","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","DAP","D","Consegnato presso","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","DAT","D","Consegnato Al Terminal","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","EXW","E","Franco fabbrica","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","FAS","F","Franco lungo bordo","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","FCA","F","Franco vettore","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","FOB","F","Franco a bordo","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2017","CFR","C","Costo e nolo","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","CIF","C","Costo, assicurazione e nolo","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","CIP","C","Trasporto e assicurazione pagati fino a ...","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","CPT","C","Trasporto pagato fino a ...","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","DAP","D","Consegnato presso","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","DAT","D","Consegnato Al Terminal","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","EXW","E","Franco fabbrica","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","FAS","F","Franco lungo bordo","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","FCA","F","Franco vettore","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","FOB","F","Franco a bordo","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
