"ti_persona","numero","dt_inizio_validita","im_inferiore","im_superiore","im_detrazione","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec","im_detrazione_primo_figlio","im_maggiorazione","moltiplicatore","numeratore","denominatore"
"A","1","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"B","1","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"C","1","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"F","1","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"F","2","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"F","3","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"F","4","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"F","5","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"H","1","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
"M","1","2005-01-01T00:00:00.000","0.00","99999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","2","0.00","NULL","NULL","NULL","NULL"
