"ti_lavoro","dt_inizio_validita","im_inferiore","im_superiore","im_detrazione","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec","im_maggiorazione","moltiplicatore","numeratore","denominatore","im_detrazione_minima"
"D","2014-01-01T00:00:00.000","0.00","8000.00","1880.00","2100-12-31T00:00:00.000","2014-01-07T00:00:00.000","CED","2014-01-20T00:00:00.000","CED","1","0.00","1.00","1.00","1.00","1380.00"
"D","2014-01-01T00:00:00.000","8000.01","28000.00","978.00","2100-12-31T00:00:00.000","2014-01-07T00:00:00.000","CED","2014-01-20T00:00:00.000","CED","1","0.00","902.00","28000.00","20000.00","0.00"
"D","2014-01-01T00:00:00.000","28000.01","55000.00","978.00","2100-12-31T00:00:00.000","2014-01-07T00:00:00.000","CED","2014-01-20T00:00:00.000","CED","1","0.00","1.00","55000.00","27000.00","0.00"
"D","2014-01-01T00:00:00.000","55000.01","999999999.00","0.00","2100-12-31T00:00:00.000","2014-01-07T00:00:00.000","CED","2014-01-20T00:00:00.000","CED","1","0.00","1.00","1.00","1.00","0.00"
"D","2005-01-01T00:00:00.000","0.00","999999999.00","0.00","2006-12-31T00:00:00.000","2005-02-07T00:00:00.000","CR","2007-02-01T00:00:00.000","CED","1","NULL","NULL","NULL","NULL","NULL"
"D","2001-12-31T00:00:00.000","0.00","6197.48","1146.53","2002-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-02-19T00:00:00.000","$$$$$CINECA$$$$$","1","NULL","NULL","NULL","NULL","NULL"
"D","2001-12-31T00:00:00.000","6352.43","6507.36","1032.91","2002-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-02-19T00:00:00.000","$$$$$CINECA$$$$$","1","NULL","NULL","NULL","NULL","NULL"
"D","2001-12-31T00:00:00.000","6507.37","7746.85","981.27","2002-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-02-19T00:00:00.000","$$$$$CINECA$$$$$","1","NULL","NULL","NULL","NULL","NULL"
"D","2001-12-31T00:00:00.000","7901.80","8056.73","826.33","2002-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-02-19T00:00:00.000","$$$$$CINECA$$$$$","1","NULL","NULL","NULL","NULL","NULL"
"D","2001-12-31T00:00:00.000","8056.74","8211.66","748.86","2002-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-02-19T00:00:00.000","$$$$$CINECA$$$$$","1","NULL","NULL","NULL","NULL","NULL"
"D","2001-12-31T00:00:00.000","8263.32","8779.77","650.74","2002-12-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-02-19T00:00:00.000","$$$$$CINECA$$$$$","1","NULL","NULL","NULL","NULL","NULL"
