"cd_divisa","ds_divisa","precisione","fl_calcola_con_diviso","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"UAH","Hryvnia ucraino ","2.0000","N","NULL","2013-06-25T00:00:00.000","CED_RP","2013-06-25T00:00:00.000","CED_RP","1"
"HRK","Kuna Croazia","2.0000","N","NULL","2013-07-26T15:43:58.000","CED_RP","2013-07-26T15:43:58.000","CED_RP","1"
"MYR","Ringgit malese","2.0000","N","NULL","2016-09-05T00:00:00.000","CED_RP","2016-09-05T00:00:00.000","CED_RP","1"
"INR","Rupia Indiana","2.0000","N","NULL","2012-04-02T11:47:48.000","GREGORI","2012-04-02T11:47:48.000","GREGORI","1"
"EGP","Lira Egiziana","2.0000","N","NULL","2012-04-18T09:57:46.000","MILIAA","2012-04-18T09:57:46.000","MILIAA","1"
"ARS","Peso Argentino","2.0000","N","NULL","2011-05-12T11:57:49.000","GREGORI","2011-05-12T11:57:49.000","GREGORI","1"
"CNY","Yuan Cinese","2.0000","N","NULL","2011-09-20T12:36:52.000","FG","2011-09-20T12:36:52.000","FG","1"
"EURO","EURO","2.0000","N","NULL","2001-01-01T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2002-03-26T10:20:56.000","$$$$$MIGRAZIONE$$$$$","3"
"USD","Dollaro Statunitense","2.0000","N","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2"
"CHF","Franco Svizzero","2.0000","N","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"DKK","Corona Danese","2.0000","N","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"GBP","Lira Sterlina","2.0000","N","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"NOK","Corona Norvegese","2.0000","N","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"SEK","Corona Svedese","2.0000","N","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"ATS","Scellino austriaco","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"AUD","Dollaro Australiano","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"BEF","Franco Belga","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"BGN","Lev Bulgaro","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"CAD","Dollaro Canadese","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"CYP","Lira Cipriota","2.0000","N","2007-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"CZK","Corona Ceca","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"DEM","Marco Tedesco","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"EEK","Corona Estone","2.0000","N","2010-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"ESP","Peseta spagnola","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"FIM","Marco Filandese","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"FRF","Franco francese","2.0000","N","2001-12-31T00:00:00.000","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2011-06-15T00:00:00.000","FG","2"
"HKD","Dollaro di Hong Kong","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
"HUF","Fiorino Ungherese","2.0000","N","NULL","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","2003-02-14T00:00:00.000","$$$$$CINECA$$$$$","1"
