"cd_catastale","dt_inizio_validita","importo","dt_fine_validita","pg_comune","dacr","utcr","duva","utuv","pg_ver_rec"
"L850","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","7351","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:00.000","RPUCCIARELLI","3"
"A564","2012-11-16T00:00:00.000","7500.00","2014-01-28T00:00:00.000","439","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"H022","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","5216","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"H575","2012-11-16T00:00:00.000","12000.00","2014-01-28T00:00:00.000","5616","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:59.000","RPUCCIARELLI","3"
"H303","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","5398","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:46.000","RPUCCIARELLI","3"
"G353","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","4695","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:59.000","RPUCCIARELLI","3"
"B410","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","1032","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"I533","2012-11-16T00:00:00.000","8000.00","2014-01-28T00:00:00.000","6343","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:00.000","RPUCCIARELLI","3"
"G968","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","5178","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:59.000","RPUCCIARELLI","3"
"D403","2012-11-16T00:00:00.000","9000.00","2014-01-28T00:00:00.000","2474","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:38.000","RPUCCIARELLI","3"
"I865","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","6598","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:49.000","RPUCCIARELLI","3"
"H688","2012-11-16T00:00:00.000","9000.00","2014-01-28T00:00:00.000","5697","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:00.000","RPUCCIARELLI","3"
"B282","2012-11-16T00:00:00.000","6000.00","2014-01-28T00:00:00.000","949","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:00.000","RPUCCIARELLI","3"
"F242","2012-11-16T00:00:00.000","10750.00","2014-01-28T00:00:00.000","3859","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:00.000","RPUCCIARELLI","3"
"A467","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","363","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:00.000","RPUCCIARELLI","3"
"B985","2012-11-16T00:00:00.000","7500.00","2014-01-28T00:00:00.000","1458","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:59.000","RPUCCIARELLI","3"
"I243","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","7879","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:36.000","RPUCCIARELLI","3"
"L404","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","7015","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:01.000","RPUCCIARELLI","3"
"D627","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","2640","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"L500","2012-11-16T00:00:00.000","8000.00","2014-01-28T00:00:00.000","7094","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:01.000","RPUCCIARELLI","3"
"M298","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","7615","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"D691","2012-11-16T00:00:00.000","8000.00","2014-01-28T00:00:00.000","2690","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"F055","2012-11-16T00:00:00.000","7500.00","2014-01-28T00:00:00.000","3726","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:50.000","RPUCCIARELLI","3"
"C332","2012-11-16T00:00:00.000","15000.00","2016-02-03T00:00:00.000","1718","2012-11-15T11:26:30.000","VSERRA","2015-01-20T11:10:43.000","VSERRA","3"
"F710","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","4212","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:54.000","RPUCCIARELLI","3"
"L047","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","6738","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"C370","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","1747","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:49.000","RPUCCIARELLI","3"
"A657","2012-11-16T00:00:00.000","12000.00","2013-10-30T00:00:00.000","508","2012-11-15T11:26:30.000","VSERRA","2013-10-30T10:11:31.000","VSERRA","3"
"A264","2012-11-16T00:00:00.000","12000.00","2014-01-28T00:00:00.000","210","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:59.000","RPUCCIARELLI","3"
"E512","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","3323","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:54.000","RPUCCIARELLI","3"
"B763","2012-11-16T00:00:00.000","9000.00","2014-01-28T00:00:00.000","7807","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:58.000","RPUCCIARELLI","3"
"B070","2012-11-16T00:00:00.000","10000.00","2013-11-28T00:00:00.000","802","2012-11-15T11:26:30.000","VSERRA","2013-11-28T12:34:05.000","VSERRA","3"
"B485","2012-11-16T00:00:00.000","12000.00","2014-01-28T00:00:00.000","1085","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:32:00.000","RPUCCIARELLI","3"
"D611","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","2628","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:42.000","RPUCCIARELLI","3"
"D253","2012-11-16T00:00:00.000","8000.00","2014-01-28T00:00:00.000","8048","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"M170","2012-11-16T00:00:00.000","15000.00","2014-01-28T00:00:00.000","7583","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"F749","2012-11-16T00:00:00.000","15000.00","2016-02-03T00:00:00.000","4247","2012-11-15T11:26:30.000","VSERRA","2015-01-20T11:10:48.000","VSERRA","3"
"E447","2012-11-16T00:00:00.000","6250.00","2014-01-28T00:00:00.000","3268","2012-11-15T11:26:30.000","VSERRA","2014-01-28T15:31:56.000","RPUCCIARELLI","3"
"G852","2012-11-16T00:00:00.000","11500.00","2014-01-28T00:00:00.000","5087","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:49.000","RPUCCIARELLI","3"
"F043","2012-11-16T00:00:00.000","12000.00","2014-01-28T00:00:00.000","5935","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"A434","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","334","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"G879","2012-11-16T00:00:00.000","12000.00","2014-01-28T00:00:00.000","5110","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:46.000","RPUCCIARELLI","3"
"H119","2012-11-16T00:00:00.000","8500.00","2014-01-28T00:00:00.000","5273","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:45.000","RPUCCIARELLI","3"
"G601","2012-11-16T00:00:00.000","8000.00","2014-01-28T00:00:00.000","4877","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"B413","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","1034","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"C309","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","1694","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"H601","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","5636","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:56.000","RPUCCIARELLI","3"
"B539","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","1126","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
"D547","2012-11-16T00:00:00.000","10000.00","2014-01-28T00:00:00.000","2582","2012-11-15T11:26:31.000","VSERRA","2014-01-28T15:31:57.000","RPUCCIARELLI","3"
