"cd_gruppo_iva","ds_gruppo_iva","dacr","utcr","duva","utuv","pg_ver_rec"
"4","IMPONIBILE AL 4","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"19,6","IMPONIBILE AL 19,6","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"7","IMPONIBILE AL 7","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"24","IMPONIBILE AL 24","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"8,2","IMPONIBILE AL 8,2","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"23","IMPONIBILE AL 23","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"8","IMPONIBILE AL 8","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"20","IMPONIBILE AL 20","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"17,5","IMPONIBILE AL 17,5","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"14","IMPONIBILE AL 14","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"9,5","IMPONIBILE AL 9,5","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"25","IMPONIBILE AL 25","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"27","IMPONIBILE AL 27","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"22","IMPONIBILE AL 22","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"19","IMPONIBILE AL 19","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"21,25","IMPONIBILE AL 21,25","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"15","IMPONIBILE AL 15","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"21","IMPONIBILE AL 21","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"10","IMPONIBILE AL 10","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"16","IMPONIBILE AL 16","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"I21","NON DETRAIBILE AL 21","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"I20","NON DETRAIBILE AL 20","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"I22","NON DETRAIBILE AL 22","2017-05-19T09:31:09.000","MIGRAZIONE","2017-05-19T09:31:09.000","MIGRAZIONE","1"
"ES","ESENTE","2017-05-19T09:31:09.000","MIGRAZIONE","2001-08-27T11:35:14.000","ISS","1"
"FC","FUORI CAMPO IVA","2017-05-19T09:31:09.000","MIGRAZIONE","2001-08-27T11:35:14.000","ISS","1"
"NI","NON IMPONIBILE","2017-05-19T09:31:09.000","MIGRAZIONE","2001-08-27T11:35:14.000","ISS","1"
"NS","NON SOGGETTA","2017-05-19T09:31:09.000","MIGRAZIONE","2001-08-27T11:35:14.000","ISS","1"
