"cd_help","page","help_url","duva","utuv","dacr","utcr","pg_ver_rec","ds_page","flag_man"
"0021300000","/anagraf00/terzo_unita_organizzativa.jsp","/helpres/help_not_found.html","2002-12-02T10:33:20.000","$$$$$MIGRAZIONE$$$$$","2002-12-02T10:33:20.000","$$$$$MIGRAZIONE$$$$$","1","Terzo unita organizzativa - Gestione terzo","N"
"0021400000","/prevent00/totali_cdr_primo_stampe.jsp","/helpres/help_not_found.html","2002-12-02T10:33:25.000","$$$$$MIGRAZIONE$$$$$","2002-12-02T10:33:25.000","$$$$$MIGRAZIONE$$$$$","1","Totali cdr primo stampe - Stampa aggregato CDR di I livello/Area","N"
"0021500000","/doccont00/view_distinta_totali.jsp","/helpres/help_not_found.html","2002-12-02T10:33:27.000","$$$$$MIGRAZIONE$$$$$","2002-12-02T10:33:27.000","$$$$$MIGRAZIONE$$$$$","1","View distinta totali - Dettaglio Totali per Distinta","N"
"0021600000","/doccont00/view_distinta_totali_trasmessi.jsp","/helpres/help_not_found.html","2002-12-02T10:33:28.000","$$$$$MIGRAZIONE$$$$$","2002-12-02T10:33:28.000","$$$$$MIGRAZIONE$$$$$","1","View distinta totali trasmessi - Dettaglio Totali Trasmessi","N"
"0021700000","/doccont00/disp_cassa_capitolo.jsp","/helpres/help_not_found.html","2003-02-25T18:32:21.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:21.000","$$$$$MIGRAZIONE$$$$$","1","Disp cassa capitolo - Disponibilit? sul Capitolo","N"
"0021800000","/gestiva00/liquidazione_massa_iva.jsp","/helpres/help_not_found.html","2003-02-25T18:32:30.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:30.000","$$$$$MIGRAZIONE$$$$$","1","Liquidazione massa iva - Liquidazione IVA di massa","N"
"0021900000","/compensi00/liquidazione_rate_minicarriera.jsp","/helpres/400 - 72 documenti amministrativi spesa - minicarriera - liquidazione massiva.htm","2003-02-25T18:32:30.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:30.000","$$$$$MIGRAZIONE$$$$$","1","Liquidazione rate minicarriera - Liquidazione massiva minicarriere","N"
"0022100000","/breports/print_spooler.jsp","/helpres/help_not_found.html","2003-02-25T18:32:49.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:49.000","$$$$$MIGRAZIONE$$$$$","1","Print spooler - Risultato ricerca","N"
"0022200000","/gestiva00/riepilogativi_iva_centro_definitivo.jsp","/helpres/help_not_found.html","2003-02-25T18:32:52.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:52.000","$$$$$MIGRAZIONE$$$$$","1","Riepilogativi iva centro definitivo - Riepilogativi IVA Ente Definitivi","N"
"0022300000","/gestiva00/riepilogativi_iva_centro_provvisorio.jsp","/helpres/help_not_found.html","2003-02-25T18:32:52.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:52.000","$$$$$MIGRAZIONE$$$$$","1","Riepilogativi iva centro provvisorio - Riepilogativi IVA Ente Provvisori","N"
"0022400000","/gestiva00/riepilogo_iva_differita_definitiva.jsp","/helpres/help_not_found.html","2003-02-25T18:32:53.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:53.000","$$$$$MIGRAZIONE$$$$$","1","Riepilogo iva differita definitiva - Riepilogo Iva ad esigibilit? differita definitiva","N"
"0022500000","/gestiva00/riepilogo_iva_differita_provvisoria.jsp","/helpres/help_not_found.html","2003-02-25T18:32:53.000","$$$$$MIGRAZIONE$$$$$","2003-02-25T18:32:53.000","$$$$$MIGRAZIONE$$$$$","1","Riepilogo iva differita provvisoria - Riepilogo Iva ad esigibilit? differita provvisoria","N"
"0012200000","/util/print_spool_status.jsp","/helpres/help_not_found.html","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","1","Print spool status - Stampa offline","N"
"0012300000","/doccont00/prospetto_spese_cdr.jsp","/helpres/help_not_found.html","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","1","Prospetto spese cdr - Prospetto spese per Cdr e Linea Attivita","N"
"0012400000","/anagraf00/rappresentante_legale.jsp","/helpres/help_not_found.html","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","1","Rappresentante legale - Rappresentante Legale","N"
"0012500000","/util/requesttrace.jsp","/helpres/help_not_found.html","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","1","Requesttrace - Gestione trace sessione HTTP","N"
"0012600000","/docamm00/ricerca_accertamenti.jsp","/helpres/help_not_found.html","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","1","Ricerca accertamenti - Ricerca accertamenti per contabilizzazione","N"
"0012700000","/coepcoan00/ricerca_mastri.jsp","/helpres/help_not_found.html","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","1","Ricerca mastri - Visualizzazione mastri","N"
"0012800000","/coepcoan00/ricerca_mov_cont.jsp","/helpres/help_not_found.html","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","2002-04-22T19:14:32.000","$$$$$MIGRAZIONE$$$$$","1","Ricerca mov cont - Ricerca movimenti contabili","N"
