"pg_storico_","im02","dt01","dt02","dacr","utcr","duva","utuv","pg_ver_rec","esercizio","cd_unita_funzionale","cd_chiave_primaria","cd_chiave_secondaria","val01","val02","val03","val04","im01","user_","dt_transaction_","action_"
"1","NULL","NULL","NULL","2016-11-02T16:14:10.000","CED","2016-11-02T16:14:10.000","CED","1","2017","*","BILANCIO_ENTE","AVANZO","NULL","NULL","NULL","NULL","90161249.280000","PCIR009","2017-04-07T14:30:52.000","U"
"2","NULL","NULL","NULL","2016-11-02T16:14:10.000","CED","2016-11-02T16:14:10.000","CED","1","2017","*","BILANCIO_ENTE","FONDO_CASSA","NULL","NULL","NULL","NULL","400000000.000000","PCIR009","2017-04-07T14:31:03.000","U"
"19","NULL","NULL","NULL","2011-08-10T14:14:08.000","CED","2011-08-10T14:14:08.000","CED","1","2017","*","PARAMETRI_ORDINI","GIORNI_DATA_PREVISTA_CONSEGNA","NULL","NULL","NULL","NULL","30.000000","PCIR009","2017-07-11T12:06:59.000","I"
"20","NULL","NULL","NULL","2011-08-10T14:14:08.000","CED","2011-08-10T14:14:08.000","CED","1","2017","*","PARAMETRI_ORDINI","GIORNI_DATA_PREVISTA_CONSEGNA","NULL","NULL","NULL","NULL","30.000000","PCIR009","2017-07-11T12:16:41.000","D"
"21","NULL","NULL","NULL","2011-08-10T14:14:08.000","CED","2011-08-10T14:14:08.000","CED","1","0","*","PARAMETRI_ORDINI","GIORNI_DATA_PREVISTA_CONSEGNA","NULL","NULL","NULL","NULL","30.000000","PCIR009","2017-07-11T12:16:47.000","I"
"22","NULL","2017-01-07T00:00:00.000","NULL","2017-07-26T00:00:00.000","CED","2017-07-26T00:00:00.000","CED","1","0","*","SPLIT_PAYMENT","PASSIVA","NULL","NULL","NULL","NULL","NULL","PCIR009","2017-07-26T11:47:44.000","I"
"24","NULL","NULL","NULL","2002-01-29T09:58:36.000","$$$$$MIGRAZIONE$$$$$","2002-01-29T09:58:36.000","$$$$$MIGRAZIONE$$$$$","1","0","*","CDR_SPECIALE","CDR_PERSONALE","001.000.000","NULL","NULL","NULL","NULL","PCIR009","2017-09-12T11:27:31.000","U"
"72","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-13T17:15:13.000","$$$$SYSDATE$$$$","2116","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-13T17:26:45.000","U"
"73","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-13T17:26:45.000","$$$$SYSDATE$$$$","2117","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-13T17:27:14.000","U"
"74","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-13T17:27:14.000","$$$$SYSDATE$$$$","2118","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-13T17:31:22.000","U"
"75","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-13T17:31:22.000","$$$$SYSDATE$$$$","2119","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-13T17:31:24.000","U"
"98","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-13T21:30:01.000","$$$$SYSDATE$$$$","2142","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-13T22:00:00.000","U"
"99","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-13T22:00:00.000","$$$$SYSDATE$$$$","2143","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-13T22:00:05.000","U"
"116","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-14T02:00:00.000","$$$$SYSDATE$$$$","2160","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","N","NULL","PCIR009","2017-11-14T02:30:00.000","U"
"117","NULL","NULL","NULL","2016-02-02T16:04:30.000","$$$$SYSTEM$$$$","2017-11-14T02:30:00.000","$$$$SYSDATE$$$$","2161","0","*","EMAIL_PEC","SDI","servizio.fatturazione@pec.iss.it","M6eiOJtXxXgr02jEWFA5Ng==","NULL","Y","NULL","PCIR009","2017-11-14T02:30:00.000","U"
