"cd_cds","cd_magazzino","ds_magazzino","cd_unita_operativa","cd_cds_luogo","cd_luogo_consegna","cd_cds_car_mag","cd_tipo_movimento_car_mag","cd_cds_car_tra","cd_tipo_movimento_car_tra","cd_cds_car_fma","cd_tipo_movimento_car_fma","cd_cds_sca_uo","cd_tipo_movimento_sca_uo","cd_cds_tra_sca","cd_tipo_movimento_tra_sca","cd_cds_tra_car","cd_tipo_movimento_tra_car","cd_cds_rv_pos","cd_tipo_movimento_rv_pos","cd_cds_rv_neg","cd_tipo_movimento_rv_neg","cd_cds_chi","cd_tipo_movimento_chi","dt_ult_val_sca","esercizio_val_sca","cd_cds_raggr_sca","cd_raggr_magazzino_sca","metodo_val_sca","dt_ult_val_rim","esercizio_val_rim","cd_cds_raggr_rim","cd_raggr_magazzino_rim","metodo_val_rim","abil_tutti_beni_serv","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"000","AI","MAG.DI TRANSITO CN.AIDS","CN.AIDS","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2015-02-13T14:45:50.000","2015","000","TT","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-03-01T16:52:33.000","FIORETTOT","1"
"000","NS","MAGAZZINO TRANSITO CNS","CNS","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2015-02-13T14:45:50.000","2015","000","TT","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-03-01T16:52:33.000","FIORETTOT","1"
"000","SO","MAG.TRANSITO CENTRO SOST.CHIMICHE","CSC","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2015-02-13T14:45:50.000","2015","000","TT","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-03-01T16:52:33.000","FIORETTOT","1"
"000","RV","MAG.TRANSITO CRIVIB","CRIVIB","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2015-02-13T14:45:50.000","2015","000","TT","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-03-01T16:52:33.000","FIORETTOT","1"
"000","OV","MAG.DI TRANSITO OVA","OVA","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2015-02-13T14:45:50.000","2015","000","TT","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2017-05-09T17:07:18.000","GGASPARRO","4"
"000","ON","MAG. DI TRANSITO ONDICO","OND","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2015-02-13T14:45:50.000","2015","000","TT","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-03-01T16:52:33.000","FIORETTOT","1"
"000","PC","PRODOTTI CHIMICI","SA.75.1","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2016-02-26T16:45:17.000","2015","000","02","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-02-26T16:45:17.000","MATRASCIA","1"
"000","MV","MATERIALE VETRERIA E MONOUSO","SA.75.2","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","2006-03-13T13:14:58.000","2006","000","MV","1","2016-02-26T16:44:40.000","2015","000","01","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-02-26T16:44:40.000","MATRASCIA","1"
"000","CS","MAGAZZINO CANCELLERIA E STAMPATI","SA.75.3","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","CS","NULL","2016-02-26T16:45:52.000","2015","000","03","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-02-26T16:45:52.000","MATRASCIA","1"
"000","PT","MAGAZZINO PRODOTTI TECNICI","SA.75.4","000","01","000","C01","000","C06","000","C05","000","S02","000","S17","000","C02","000","C19","000","C20","000","CHI","NULL","NULL","NULL","NULL","NULL","2016-02-26T16:46:16.000","2015","000","04","2","N","NULL","2017-04-26T14:34:05.000","MIGRAZIONE","2016-02-26T16:46:16.000","MATRASCIA","1"
