"pg_nazione","cd_gruppo_inquadramento","dt_inizio_validita","im_diaria","cd_divisa","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"102","2","2002-01-01T00:00:00.000","161.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"105","2","2002-01-01T00:00:00.000","161.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"136","2","2002-01-01T00:00:00.000","161.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"98","2","2002-01-01T00:00:00.000","161.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"142","2","2002-01-01T00:00:00.000","161.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"27","2","2002-01-01T00:00:00.000","161.69","EURO","2006-07-03T23:59:59.000","2006-07-13T17:53:25.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","CED","2"
"96","2","2002-01-01T00:00:00.000","164.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"104","2","2002-01-01T00:00:00.000","165.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"106","2","2002-01-01T00:00:00.000","165.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"202","2","2002-01-01T00:00:00.000","168.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"204","2","2002-01-01T00:00:00.000","168.00","USD","2002-12-31T00:00:00.000","2003-03-27T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
