"ti_auto","ti_area_geografica","pg_nazione","dt_inizio_validita","indennita_chilometrica","dt_fine_validita","dt_cancellazione","duva","utcr","dacr","utuv","pg_ver_rec"
"P","I","1","2011-09-24T00:00:00.000","0.00","2013-05-21T23:59:59.000","NULL","2013-05-24T12:49:31.000","CEDRC","2013-05-24T12:49:31.000","CEDRC","1"
"P","I","1","2013-05-22T00:00:00.000","0.36","2016-11-29T23:59:59.000","NULL","2016-11-29T16:11:42.000","CEDRC","2013-05-24T12:49:31.000","GREGORI","3"
"P","I","1","2016-11-30T00:00:00.000","0.29","2100-12-31T00:00:00.000","NULL","2016-11-29T16:11:42.000","GREGORI","2016-11-29T16:11:42.000","GREGORI","1"
"P","I","1","2010-04-09T00:00:00.000","0.28","2010-04-27T23:59:59.000","NULL","2010-04-27T12:49:31.000","MANCANELLIA","2010-04-08T13:46:04.000","MANCANELLIA","2"
"P","I","1","2008-05-22T00:00:00.000","0.30","2008-12-15T23:59:59.000","NULL","2008-12-15T12:21:27.000","GARZENINI","2008-05-21T10:44:44.000","GARZENINI","3"
"P","I","1","2009-07-25T00:00:00.000","0.26","2009-12-29T23:59:59.000","NULL","2009-12-31T09:54:01.000","MANCANELLIA","2009-07-24T14:52:37.000","MANCANELLIA","2"
"P","I","1","2009-12-30T00:00:00.000","0.27","2010-04-08T23:59:59.000","NULL","2010-04-08T13:46:04.000","MANCANELLIA","2009-12-31T09:54:01.000","MANCANELLIA","2"
"P","I","1","2008-12-16T00:00:00.000","0.24","2009-07-24T23:59:59.000","NULL","2009-07-24T14:52:37.000","MANCANELLIA","2008-12-15T12:21:27.000","MANCANELLIA","2"
"P","I","1","2006-07-10T00:00:00.000","0.28","2008-05-21T23:59:59.000","NULL","2008-05-21T10:44:44.000","CROSATI","2006-07-19T10:51:44.000","GARZENINI","3"
"P","I","1","2002-01-01T00:00:00.000","0.20","2002-12-31T00:00:00.000","NULL","2003-02-11T11:26:26.000","GREGORI","2003-02-11T11:26:07.000","GREGORI","2"
"P","I","1","2003-01-01T00:00:00.000","0.22","2004-05-31T23:59:59.000","NULL","2004-06-23T15:23:53.000","GREGORI","2003-02-11T11:26:26.000","GREGORI","2"
"P","I","1","2004-06-01T00:00:00.000","0.23","2005-09-22T23:59:59.000","NULL","2005-09-22T10:48:24.000","GREGORI","2004-06-23T15:23:54.000","GARZENINI","3"
"P","I","1","2005-09-23T00:00:00.000","0.27","2006-07-09T23:59:59.000","NULL","2006-07-19T10:51:44.000","GARZENINI","2005-09-22T10:48:24.000","GARZENINI","2"
"P","I","1","2010-04-28T00:00:00.000","0.29","2011-09-23T23:59:59.000","NULL","2013-05-24T12:49:31.000","BUONAMICIG","2010-04-27T12:49:31.000","CEDRC","2"
