"cd_ti_pasto","ti_area_geografica","pg_nazione","pg_rif_inquadramento","dt_inizio_validita","cd_divisa","limite_max_pasto","dt_fine_validita","dt_cancellazione","duva","utcr","dacr","utuv","pg_ver_rec","cd_area_estera"
"PASTO_SINGOLO","I","1","62","2002-01-01T00:00:00.000","EURO","30.55","2050-12-31T00:00:00.000","NULL","2005-09-14T15:08:09.000","CED","2005-09-14T15:08:12.000","CED","1","*"
"PASTO_SINGOLO","E","0","38","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","39","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","40","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","40","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","41","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","42","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","42","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"PASTO_SINGOLO","E","0","43","2010-05-31T00:00:00.000","EURO","30.55","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
"GIORNALIERO","E","0","44","2010-05-31T00:00:00.000","EURO","61.10","2010-05-30T00:00:00.000","NULL","2011-09-23T15:04:39.000","CED","2010-07-12T16:13:29.000","CED","2","*"
