"cd_ti_spesa","ti_area_geografica","pg_nazione","pg_rif_inquadramento","dt_inizio_validita","ds_ti_spesa","fl_giustificativo_richiesto","fl_pasto","fl_trasporto","fl_rimborso_km","fl_alloggio","cd_divisa","limite_max_spesa","percentuale_maggiorazione","dt_fine_validita","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec","fl_ammissibile_con_rimborso"
"ALTRO PASTO","*","0","0","2013-01-01T00:00:00.000","RIMBORSO PASTO ACCOMPAGNATORE DISABILE","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2013-10-28T00:00:00.000","CED","2013-10-28T15:03:54.000","CED","1","Y"
"ALTRO ALBERGO","*","0","0","2013-01-01T00:00:00.000","RIMBORSO ALBERGO ACCOMPAGNATORE DISABILE","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2013-10-28T00:00:00.000","CED","2013-10-28T15:03:54.000","CED","1","Y"
"ALTRO MEZZO TRASPORT","*","0","0","2013-01-01T00:00:00.000","RIMBORSO MEZZO DI TRASPORTO ACCOMPAGNATORE DISABILE","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2013-10-28T00:00:00.000","CED","2013-10-28T15:03:54.000","CED","1","Y"
"PASTO","E","0","0","2010-05-31T00:00:00.000","RIMBORSO SPESE PASTO","Y","Y","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2010-06-25T00:00:00.000","CED","2010-06-25T00:00:00.000","CED","1","N"
"AEREO SENZA INDEN","*","0","0","1999-01-01T00:00:00.000","RIMBORSO BIGLIETTI AEREO SENZA INDENNITA","Y","N","Y","N","N","EURO","999999999.00","0.00","2011-09-23T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:53.000","CED","2","N"
"AEREO","*","0","0","1999-01-01T00:00:00.000","RIMBORSO SPESE VIAGGIO + INDENNITA'","Y","N","Y","N","N","EURO","999999999.00","5.00","2010-05-31T00:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:53.000","CED","2","N"
"ALBERGO","*","0","0","1999-01-01T00:00:00.000","PERNOTTAMENTO","Y","N","N","N","Y","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"ALTRE SPESE VIAGGIO","*","0","0","1999-01-01T00:00:00.000","ALTRI COSTI PER RIMBORSO SPESE VIAGGIO","Y","N","Y","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"ALTRI COSTI CONGRES.","*","0","0","1999-01-01T00:00:00.000","ALTRI COSTI PER PARTECIPAZIONE A CONGRES","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N"
"ALTRO","*","0","0","1999-01-01T00:00:00.000","ALTRE SPESE","Y","N","N","N","N","EURO","999999999.00","0.00","2200-12-31T01:00:00.000","NULL","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2011-09-23T15:03:54.000","CED","2","Y"
