"esercizio","cd_modalita_trasporto","ds_modalita_trasporto","dacr","utcr","duva","utuv","pg_ver_rec"
"2018","1","Trasporto marittimo","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","2","Trasporto ferroviario","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","3","Trasporto stradale","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","4","Trasporto aereo","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","5","Spedizioni postali","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","7","Installazioni fisse di trasporto","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","8","Trasporto per vie d'acqua","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2018","9","Propulsione propria","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"2017","1","Trasporto marittimo","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","2","Trasporto ferroviario","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","3","Trasporto stradale","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","4","Trasporto aereo","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","5","Spedizioni postali","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","7","Installazioni fisse di trasporto","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","8","Trasporto per vie d'acqua","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"2017","9","Propulsione propria","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
