"id_natura_transazione","esercizio","cd_natura_transazione","cd_oper_triangolare","ds_natura_transazione","dacr","utcr","duva","utuv","pg_ver_rec"
"73","2018","1","A","Acquisto o vendita (compreso il baratto)","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"74","2018","2","B","Restituizione o sostituzione di merci","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"75","2018","3","C","Aiuti governativi, privati o finanziati dalla Comunit? Europea","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"76","2018","4","D","Operazione in vista di una lavorazione per conto terzi o di una riparazione","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"77","2018","5","E","Operazione successiva ad una lavorazione per conto terzi o ad una riparazione","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"78","2018","6","F","Movimento di merci senza trasferimento di propriet? (per noleggio, leasing operativo, ecc.)","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"79","2018","7","G","Operazione a titolo di un programma comune di difesa o di un altro programma intergovernativo di fabbricazione coordinata","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"80","2018","8","H","Fornitura di materiali e macchinari nel quadro di un contratto generale di costruzione o di genio civile","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"81","2018","9","I","Altre transazioni","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:53.000","$$$$RIBALTAMENTO$$$$","1"
"64","2017","1","A","Acquisto o vendita (compreso il baratto)","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"65","2017","2","B","Restituizione o sostituzione di merci","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"66","2017","3","C","Aiuti governativi, privati o finanziati dalla Comunit? Europea","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"67","2017","4","D","Operazione in vista di una lavorazione per conto terzi o di una riparazione","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"68","2017","5","E","Operazione successiva ad una lavorazione per conto terzi o ad una riparazione","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"69","2017","6","F","Movimento di merci senza trasferimento di propriet? (per noleggio, leasing operativo, ecc.)","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"70","2017","7","G","Operazione a titolo di un programma comune di difesa o di un altro programma intergovernativo di fabbricazione coordinata","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"71","2017","8","H","Fornitura di materiali e macchinari nel quadro di un contratto generale di costruzione o di genio civile","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
"72","2017","9","I","Altre transazioni","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:01.000","$$$$RIBALTAMENTO$$$$","1"
