"esercizio","cd_catastale","ds_nazione","dacr","utcr","duva","utuv","pg_ver_rec","cd_nazione"
"2018","Z723","POLINESIA FRANCESE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","225"
"2018","Z728","TONGA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","162"
"2018","Z527","SAINT LUCIA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","199"
"2018","Z533","SAINT KITTS E NEVIS","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","195"
"2018","Z528","SAINT VINCENT E GRENADINE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","196"
"2018","Z342","SEYCHELLES","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","189"
"2018","Z248","SINGAPORE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","147"
"2018","Z340","SANT'ELENA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","254"
"2018","Z217","TAIWAN","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","022"
"2018","Z519","ISOLE TURKS E CAICOS","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","210"
"2018","Z732","TUVALU","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","193"
"2018","Z613","URUGUAY","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","080"
"2018","Z733","VANUATU","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","121"
"2018","Z520","ISOLE VERGINI AMERICANE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","221"
"2018","Z525","ISOLE VERGINI BRITANNICHE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","249"
"2018","Z530","ISOLE CAYMAN","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","211"
"2018","Z716","NUOVA CALEDONIA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","253"
"2018","Z235","OMAN","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","163"
"2018","Z516","PANAMA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","051"
"2018","Z518","PORTORICO","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","220"
"2018","Z703","ISOLE COOK","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","237"
"2018","Z503","COSTA RICA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","019"
"2018","Z526","DOMINICA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","192"
"2018","Z605","ECUADOR","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","024"
"2018","Z216","FILIPPINE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","027"
"2018","Z507","GIAMAICA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","082"
"2018","Z113","GIBILTERRA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","102"
"2018","Z361","GIBUTI","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","113"
"2018","Z524","GRENADA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","156"
"2018","Z509","GUATEMALA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","033"
"2018","Z114","GUERNSEY","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","201"
"2018","Z210","HONG KONG","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","103"
"2018","Z724","SALOMONE ISOLE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","191"
"2018","Z114","JERSEY C.I.","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","202"
"2018","Z215","EMIRATI ARABI UNITI","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","239"
"2018","Z726","SAMOA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","131"
"2018","Z101","ANDORRA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","004"
"2018","Z302","ANGOLA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","133"
"2018","Z529","ANGUILLA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","209"
"2018","Z532","ANTIGUA E BARBUDA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","197"
"2018","Z501","ANTILLE OLANDESI","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","251"
"2018","*","ARUBA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","212"
"2018","Z502","BAHAMAS","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","160"
"2018","Z204","BAHRAIN","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","169"
"2018","Z522","BARBADOS","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","118"
"2018","Z512","BELIZE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","198"
"2018","Z400","BERMUDA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","207"
"2018","Z207","BRUNEI","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","125"
"2018","Z322","KENYA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","116"
"2018","Z731","KIRIBATI","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","194"
"2018","Z229","LIBANO","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","095"
"2018","Z325","LIBERIA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","044"
"2018","Z119","LIECHTENSTEIN","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","090"
"2018","Z120","LUSSEMBURGO","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","092"
"2018","Z231","MACAO","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","059"
"2018","Z247","MALAYSIA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","106"
"2018","Z232","MALDIVE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","127"
"2018","Z122","MAN ISOLA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","203"
"2018","Z711","ISOLE MARSHALL","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","217"
"2018","Z332","MAURITIUS","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","128"
"2018","Z133","SVIZZERA","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","071"
"2018","Z531","MONTSERRAT","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","208"
"2018","Z123","PRINCIPATO DI MONACO","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","091"
"2018","Z713","NAURU","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","109"
"2018","Z714","NIUE","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:56.000","$$$$RIBALTAMENTO$$$$","1","205"
"2017","Z723","POLINESIA FRANCESE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","225"
"2017","Z728","TONGA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","162"
"2017","Z527","SAINT LUCIA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","199"
"2017","Z533","SAINT KITTS E NEVIS","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","195"
"2017","Z528","SAINT VINCENT E GRENADINE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","196"
"2017","Z342","SEYCHELLES","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","189"
"2017","Z248","SINGAPORE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","147"
"2017","Z340","SANT'ELENA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","254"
"2017","Z217","TAIWAN","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","022"
"2017","Z519","ISOLE TURKS E CAICOS","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","210"
"2017","Z732","TUVALU","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","193"
"2017","Z613","URUGUAY","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","080"
"2017","Z733","VANUATU","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","121"
"2017","Z520","ISOLE VERGINI AMERICANE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","221"
"2017","Z525","ISOLE VERGINI BRITANNICHE","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","249"
"2017","Z530","ISOLE CAYMAN","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","211"
"2017","Z716","NUOVA CALEDONIA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","253"
"2017","Z235","OMAN","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","163"
"2017","Z516","PANAMA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","051"
"2017","Z518","PORTORICO","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","220"
"2017","Z703","ISOLE COOK","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","237"
"2017","Z503","COSTA RICA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","019"
"2017","Z526","DOMINICA","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:10:02.000","$$$$RIBALTAMENTO$$$$","1","192"
