"cd_cds","cd_unita_organizzativa","esercizio","cd_tipo_documento_amm","corrente","utcr","dacr","utuv","duva","pg_ver_rec"
"000","000.000","2017","FATTURA_P","1","PVILLANI","2017-05-19T15:21:06.000","MSPASIANO","2017-10-18T12:04:26.000","4"
"000","000.009","2017","COMPENSO","1","ISS","2017-11-16T09:12:22.000","ISS","2017-11-21T12:12:51.000","2"
"999","999.000","2017","FATTURA_A","1","ISS","2017-11-17T08:48:36.000","RPAGANO","2017-11-23T12:25:30.000","4"
"999","999.000","2017","FATT_A_UNI","1","ISS","2017-11-17T08:48:36.000","RPAGANO","2017-11-23T12:25:30.000","4"
"000","000.009","2017","GENERICO_S","1","RPAGANO","2017-11-21T12:54:02.000","RPAGANO","2017-11-30T12:09:29.000","10"
"999","999.000","2017","LT_ESTERO","1","RPAGANO","2017-11-20T15:58:55.000","ISS","2017-11-23T08:36:45.000","2"
"000","000.000","2017","GEN_STIP_S","1","PVILLANI","2017-09-18T12:44:40.000","PVILLANI","2017-09-18T12:44:40.000","2"
"000","000.000","2017","COMPENSO","1","PVILLANI","2017-09-18T12:44:40.000","PVILLANI","2017-09-18T12:44:40.000","2"
"000","000.000","2017","GEN_CORA_E","1","PVILLANI","2017-09-18T12:44:40.000","PVILLANI","2017-09-18T12:44:40.000","3"
"000","000.009","2017","COMPENSO$","-1","ISS","2017-11-14T16:58:23.000","RPAGANO","2017-12-04T10:25:38.000","63"
"000","000.009","2017","FATTURA_P","1","RPAGANO","2017-11-15T16:17:24.000","MSPASIANO","2017-12-01T17:18:25.000","10"
"999","999.000","2017","GENERICO_E","1","ISS","2017-11-23T11:57:27.000","ISS","2017-11-23T11:57:27.000","1"
"000","000.009","2017","GEN_CORA_E","1","ISS","2017-11-16T13:13:12.000","ISS","2017-11-22T11:40:55.000","5"
"000","000.000","2017","COMPENSO$","-1","ISS","2017-11-22T11:35:04.000","ISS","2017-11-22T11:35:04.000","1"
"000","000.009","2017","GEN_AP_FON","1","ISS","2017-11-23T12:39:22.000","ISS","2017-11-23T12:39:22.000","1"
