"cd_cds","esercizio","cd_tipo_documento_cont","primo","corrente","ultimo","utcr","dacr","utuv","duva","pg_ver_rec"
"000","2017","OBB$","-1","-23","-99999999","GGASPARRO","2017-09-22T13:31:25.000","PVILLANI","2017-12-01T16:26:42.000","60"
"999","2017","MAN","1","14","99999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-12-01T16:05:54.000","17"
"000","2017","OBB","1","24","99999999","11-SEP-17","2017-09-11T11:49:50.000","RPAGANO","2017-12-01T16:27:11.000","39"
"000","2017","OBB_PGIRO","100000001","100000006","199999999","11-SEP-17","2017-09-11T11:49:50.000","ISS","2017-11-23T12:38:38.000","10"
"000","2017","ACR_PGIRO","100000001","100000006","199999999","11-SEP-17","2017-09-11T11:49:50.000","ISS","2017-11-23T12:38:39.000","10"
"000","2017","ACR_SIST","1","0","99999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","MAN","1","0","99999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","REV","1","0","99999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","REV_PROVV","500000001","500000000","599999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","OBB_RES","1900000001","1900000000","2999999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","OBB_RESIM","9120000001","9120000000","9999999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","OBB_PGIR_R","7000000001","7000000000","7000999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","ACR_PGIR_R","7000000001","7000000000","7000999999","11-SEP-17","2017-09-11T11:49:50.000","$$$$RIBALTAMENTO$$$$","2017-09-11T11:49:50.000","1"
"000","2017","OBB_MOD","1","2","99999999","11-SEP-17","2017-09-11T11:49:50.000","ISS","2017-11-07T13:11:35.000","3"
"000","2017","OBB_MOD$","-1","-3","-99999999","ISS","2017-11-06T10:52:06.000","ISS","2017-11-07T13:11:34.000","3"
"001","2017","OBB","1","0","99999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-09-29T15:27:21.000","8"
"001","2017","OBB_PGIRO","100000001","100000000","199999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","ACR_PGIRO","100000001","100000000","199999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","ACR_SIST","1","0","99999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","MAN","1","0","99999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","REV","1","0","99999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","REV_PROVV","500000001","500000000","599999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","OBB_RES","1900000001","1900000000","2999999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","OBB_RESIM","9120000001","9120000000","9999999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","OBB_PGIR_R","7000000001","7000000000","7000999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","ACR_PGIR_R","7000000001","7000000000","7000999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"001","2017","OBB_MOD","1","0","99999999","05-MAY-17","2017-05-05T15:26:05.000","RPAGANO","2017-05-05T15:26:05.000","1"
"999","2017","REV","1","6","99999999","05-MAY-17","2017-05-05T15:26:05.000","ISS","2017-11-23T12:00:36.000","10"
"999","2017","ACR$","-1","-4","-999999","ISS","2017-11-17T08:48:33.000","RPAGANO","2017-11-23T12:25:17.000","4"
"001","2017","OBB$","-1","0","-99999999","GGASPARRO","2017-08-10T10:03:04.000","GGASPARRO","2017-08-15T19:01:57.000","8"
"999","2018","IMP","1","0","999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","IMP_RES","2009100001","2009100000","2999999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","ACR","1","0","999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","ACR_RES","2009100001","2009100000","2999999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","ACR_PLUR","5000000001","5000000000","5000999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","MAN","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","REV","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","ACR_PGIR_R","7000000001","7000000000","7000999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","OBB_PGIR_R","7000000001","7000000000","7000999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2018","ACR_MOD","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","OBB","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","OBB_PGIRO","100000001","100000000","199999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","ACR_PGIRO","100000001","100000000","199999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","ACR_SIST","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","MAN","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","REV","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","REV_PROVV","500000001","500000000","599999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","OBB_RES","1900000001","1900000000","2999999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","OBB_RESIM","9120000001","9120000000","9999999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","OBB_PGIR_R","7000000001","7000000000","7000999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","ACR_PGIR_R","7000000001","7000000000","7000999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"001","2018","OBB_MOD","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","OBB","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","OBB_PGIRO","100000001","100000000","199999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","ACR_PGIRO","100000001","100000000","199999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","ACR_SIST","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","MAN","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","REV","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","REV_PROVV","500000001","500000000","599999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","OBB_RES","1900000001","1900000000","2999999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","OBB_RESIM","9120000001","9120000000","9999999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","OBB_PGIR_R","7000000001","7000000000","7000999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","ACR_PGIR_R","7000000001","7000000000","7000999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"000","2018","OBB_MOD","1","0","99999999","08-GEN-18","2018-01-08T14:10:56.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:10:56.000","1"
"999","2017","ACR","1","8","999999","13-OTT-16","2016-10-13T21:05:25.000","RPAGANO","2017-11-30T17:02:36.000","5693"
"999","2017","ACR_RES","2009100001","2009100000","2999999999","13-OTT-16","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","1"
"999","2017","IMP","1","0","999999","18-SEP-17","2017-09-18T14:43:43.000","RPAGANO","2017-09-18T14:43:43.000","1"
"999","2017","IMP_RES","2009100001","2009100000","2999999999","18-SEP-17","2017-09-18T14:43:43.000","RPAGANO","2017-09-18T14:43:43.000","1"
"999","2017","ACR_PLUR","5000000001","5000000000","5000999999","18-SEP-17","2017-09-18T14:43:43.000","RPAGANO","2017-09-18T14:43:43.000","1"
"999","2017","ACR_PGIR_R","7000000001","7000000000","7000999999","18-SEP-17","2017-09-18T14:43:43.000","RPAGANO","2017-09-18T14:43:43.000","1"
"999","2017","OBB_PGIR_R","7000000001","7000000000","7000999999","18-SEP-17","2017-09-18T14:43:43.000","RPAGANO","2017-09-18T14:43:43.000","1"
"999","2017","ACR_MOD","1","0","99999999","18-SEP-17","2017-09-18T14:43:43.000","RPAGANO","2017-09-18T14:43:43.000","1"
