"cd_cds","cd_magazzino","esercizio","cd_numeratore_mag","corrente","dt_cancellazione","utcr","dacr","utuv","duva","pg_ver_rec"
"000","AA","2007","BOL","690","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","AI","2007","BOL","501","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","AM","2007","BOL","899","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","BI","2007","BOL","1154","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","CD","2007","BOL","1056","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","TCH","2007","BOL","4","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","CS","2007","BOL","1082","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","EO","2007","BOL","550","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","ES","2007","BOL","583","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","FA","2007","BOL","1006","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","GG","2007","BOL","948","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","MI","2007","BOL","1546","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
"000","MV","2007","BOL","2137","NULL","MIGRAZIONE","2017-04-26T14:35:33.000","MODIFICA1","2006-12-28T15:51:48.000","1"
