"cd_unita_operativa","esercizio","cd_numeratore","ds_numeratore","cd_tipo_operazione","corrente","data_progressivo","cd_tipo_sezionale","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec","perc_prorata","ti_istituz_commerc"
"PI.MALATTIE","2017","ORD","Numeratore Ordini","ORD","17","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2018-01-04T16:16:26.000","RPAGANO","22","0.00","I"
"SA.BIL","2017","RIC","Numeratore Richieste","RIC","4","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-10-31T16:22:48.000","GGASPARRO","5","NULL","I"
"CNMR","2017","RIC","Numeratore Richieste","RIC","4","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2018-01-08T10:19:54.000","GGASPARRO","7","NULL","I"
"CNMR.1","2017","RIC","Numeratore Richieste","RIC","1","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-06-05T15:37:42.000","GGASPARRO","4","NULL","I"
"CNMR.2","2017","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"CNMR.3","2017","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"CNMR.4","2017","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"CNMR.5","2017","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"DIP.BICN1.14","2017","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"PI.MALATTIE","2018","ORD","Numeratore Ordini","ORD","19","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2018-01-19T13:04:22.000","RPAGANO","24","0.00","I"
"SA.BIL","2018","RIC","Numeratore Richieste","RIC","4","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-10-31T16:22:48.000","GGASPARRO","5","NULL","I"
"CNMR","2018","RIC","Numeratore Richieste","RIC","5","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2018-01-08T14:47:15.000","GGASPARRO","8","NULL","I"
"CNMR.1","2018","RIC","Numeratore Richieste","RIC","1","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-06-05T15:37:42.000","GGASPARRO","4","NULL","I"
"CNMR.2","2018","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"CNMR.3","2018","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"CNMR.4","2018","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"CNMR.5","2018","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"DIP.BICN1.14","2018","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"SA.BRE","2018","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"ON0373","2018","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"SA.BRE","2017","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
"ON0373","2017","RIC","Numeratore Richieste","RIC","0","NULL","NULL","NULL","2017-05-18T00:00:00.000","SYSTEM","2017-05-25T09:26:41.000","GGASPARRO","3","NULL","I"
