"cd_organo","ds_organo","dt_inizio_validita","dt_fine_validita","fl_cancellato","fl_non_definito","dacr","utcr","duva","utuv","pg_ver_rec"
"01","Presidente","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-19T00:00:00.000","CED_SF","2005-05-20T13:13:19.000","TATARELLIR","2"
"02","CdA","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-19T00:00:00.000","CED_SF","2005-05-20T13:13:25.000","TATARELLIR","2"
"03","Collegio dei Revisori","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-19T00:00:00.000","CED_SF","2005-05-20T13:13:35.000","TATARELLIR","2"
"04","Altro organo diverso dai precedenti","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-19T00:00:00.000","CED_SF","2005-05-20T13:13:47.000","TATARELLIR","2"
"PRES","Presidente del CNR","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2005-05-20T13:14:49.000","TATARELLIR","2005-05-20T13:14:49.000","TATARELLIR","1"
"DG","Direttore Generale del CNR","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2005-05-20T13:26:56.000","TATARELLIR","2005-05-20T13:26:56.000","TATARELLIR","1"
"CdA","Consiglio di amministrazione del CNR","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:27:26.000","TATARELLIR","2005-05-20T13:27:26.000","TATARELLIR","1"
"CSG","Consiglio Scientifico Generale","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:27:57.000","TATARELLIR","2005-05-20T13:27:57.000","TATARELLIR","1"
"CVAL","Comitato di valutazione","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:28:38.000","TATARELLIR","2005-05-20T13:28:38.000","TATARELLIR","1"
"CRC","Collegio dei Revisori dei conti","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:29:08.000","TATARELLIR","2005-05-20T13:29:08.000","TATARELLIR","1"
"DIRIG","Dirigente ","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:29:47.000","TATARELLIR","2005-05-20T13:29:47.000","TATARELLIR","1"
"DIDIP","Direttore del Dipartimento","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2005-05-20T13:30:44.000","TATARELLIR","2005-05-20T13:30:44.000","TATARELLIR","1"
"RPROG","Responsabile di Progetto","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:31:24.000","TATARELLIR","2005-05-20T13:31:24.000","TATARELLIR","1"
"CSD","Consiglio Scientifico del Dipartimento","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:31:52.000","TATARELLIR","2005-05-20T13:31:52.000","TATARELLIR","1"
"DIST","Direttore di Istituto","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2005-05-20T13:32:33.000","TATARELLIR","2005-05-20T13:32:33.000","TATARELLIR","1"
"RCOMM","Responsabile di Commessa","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:33:15.000","TATARELLIR","2005-05-20T13:33:15.000","TATARELLIR","1"
"CIST","Consiglio di Istituto","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:33:39.000","TATARELLIR","2005-05-20T13:33:39.000","TATARELLIR","1"
"DCENT","Direttore Centrale","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:34:09.000","TATARELLIR","2005-05-20T13:34:09.000","TATARELLIR","1"
"RAdR","Responsabile dell'Area di Ricerca","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2005-05-20T13:34:40.000","TATARELLIR","2005-05-20T13:34:40.000","TATARELLIR","1"
"CUAdR","Comitato utenti dell'Area della Ricerca","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","Y","N","2005-05-20T13:35:15.000","TATARELLIR","2005-05-20T13:35:15.000","TATARELLIR","1"
"ALTRO","Altro soggetto","1960-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","Y","2005-05-20T13:36:51.000","TATARELLIR","2005-07-08T09:45:33.000","TATARELLI","3"
"RUOS","Delegato Responsabile UOS","1960-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2012-12-18T13:31:24.000","cedrc","2015-10-15T10:21:28.000","cedrc","1"
"DCSPI","Direttore centrale DCSPI","2000-01-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2012-12-18T13:31:24.000","cedrc","2012-12-18T13:31:24.000","cedrc","1"
"DCSGR","Direttore centrale DCSGR","2000-12-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2012-12-18T13:31:24.000","cedrc","2012-12-18T13:31:24.000","cedrc","1"
"DDUAC","Direttore/dirigente ufficio a.c.","2000-12-01T00:00:00.000","2100-12-31T00:00:00.000","N","N","2012-12-18T13:31:24.000","cedrc","2012-12-18T13:31:24.000","cedrc","1"
