"livello","numero","numero_dett","nome","descrizione","sequenza_esecuzione","data_esecuzione","dacr","utuv","duva","utcr","pg_ver_rec"
"4","21","10","it.cnr.contabres.db.patch.base004.patch021.D010_P010MB_new_liquidazione_cori 1.1","P010MB_new_liquidazione_cori","10","2003-02-28T17:25:38.000","2003-02-28T17:25:38.000","PATCHMAN","2003-02-28T17:25:38.000","PATCHMAN","1"
"4","21","15","it.cnr.contabres.db.patch.base004.patch021.D015_P020LF_new_tmp_report_generico 1.0","P020LF_new_tmp_report_generico","15","2003-02-28T17:25:39.000","2003-02-28T17:25:39.000","PATCHMAN","2003-02-28T17:25:39.000","PATCHMAN","1"
"4","21","20","it.cnr.contabres.db.patch.base004.patch021.D020_P025PZ_upg_importi_missione 1.0","P025PZ_upg_importi_missione","20","2003-02-28T17:25:42.000","2003-02-28T17:25:42.000","PATCHMAN","2003-02-28T17:25:42.000","PATCHMAN","1"
"4","21","25","it.cnr.contabres.db.patch.base004.patch021.D025_U000XX_HELP_LKT 1.0","U000XX_HELP_LKT","25","2003-02-28T17:25:43.000","2003-02-28T17:25:43.000","PATCHMAN","2003-02-28T17:25:43.000","PATCHMAN","1"
"4","21","30","it.cnr.contabres.db.patch.base004.patch021.D030_V000XX_viste_procedure null","V000XX_viste_procedure","30","2003-02-28T17:27:01.000","2003-02-28T17:27:01.000","PATCHMAN","2003-02-28T17:27:01.000","PATCHMAN","1"
"4","21","35","it.cnr.contabres.db.patch.base004.patch021.D035_V010XX_viste_procedure2 null","V010XX_viste_procedure2","35","2003-02-28T17:27:10.000","2003-02-28T17:27:10.000","PATCHMAN","2003-02-28T17:27:10.000","PATCHMAN","1"
"4","22","5","it.cnr.contabres.db.patch.base004.patch022.D005_P005PZ_ins_batch_log_tipo 1.0","P005PZ_ins_batch_log_tipo","5","2003-02-28T17:28:24.000","2003-02-28T17:28:24.000","PATCHMAN","2003-02-28T17:28:24.000","PATCHMAN","1"
"4","22","10","it.cnr.contabres.db.patch.base004.patch022.D010_P010MB_liquid_iva_centro 1.0","P010MB_liquid_iva_centro","10","2003-02-28T17:28:24.000","2003-02-28T17:28:24.000","PATCHMAN","2003-02-28T17:28:24.000","PATCHMAN","1"
"4","22","15","it.cnr.contabres.db.patch.base004.patch022.D015_U000XX_ALBERO_MAIN 1.0","U000XX_ALBERO_MAIN","15","2003-02-28T17:28:24.000","2003-02-28T17:28:24.000","PATCHMAN","2003-02-28T17:28:24.000","PATCHMAN","1"
"4","22","20","it.cnr.contabres.db.patch.base004.patch022.D020_V000XX_viste_procedure null","V000XX_viste_procedure","20","2003-02-28T17:29:42.000","2003-02-28T17:29:42.000","PATCHMAN","2003-02-28T17:29:42.000","PATCHMAN","1"
"4","23","5","it.cnr.contabres.db.patch.base004.patch023.D005_V000XX_viste_procedure null","V000XX_viste_procedure","5","2003-03-05T18:09:30.000","2003-03-05T18:09:30.000","PATCHMAN","2003-03-05T18:09:30.000","PATCHMAN","1"
"4","24","5","it.cnr.contabres.db.patch.base004.patch024.D005_V000X_viste_procedure null","V000X_viste_procedure","5","2003-03-10T13:41:03.000","2003-03-10T13:41:03.000","PATCHMAN","2003-03-10T13:41:03.000","PATCHMAN","1"
"4","25","5","it.cnr.contabres.db.patch.base004.patch025.D005_V000X_viste_procedure null","V000X_viste_procedure","5","2003-03-17T19:22:32.000","2003-03-17T19:22:32.000","PATCHMAN","2003-03-17T19:22:32.000","PATCHMAN","1"
