"report_name","priority","ds_report","dacr","utuv","duva","utcr","pg_ver_rec"
"/docamm/docamm/vpg_fondo_economale.jasper","1","Stampa del fondo economale","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/preventivo/preventivo/variazioni_bilancio.jasper","3","Stampa delle variazioni di bilancio","2006-06-08T15:22:35.000","SPASIA","2010-09-17T00:00:00.000","SPASIA","1"
"/docamm/docamm/vpg_doc_generico.jasper","3","Stampa massiva documenti generici","2006-06-08T15:22:35.000","SPASIA","2010-11-17T00:00:00.000","CED","1"
"/docamm/docamm/partitario_compensi.jasper","1","Partitario Anagrafico Compensi","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/avvpagmnd.jasper","1","Avviso di Pagamento Mandato","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/giornale_delle_reversali.jasper","1","Stampa Giornale delle Reversali","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrpreventivo/pdg/stampa_variazioni_pdg.rpt","5","Stampa Variazioni PdG","2005-11-02T15:37:35.000","F","2005-11-02T15:37:35.000","F","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_competenza.rpt","5","Stampa entrate/spese in c/competenza 2006","2006-04-11T17:01:38.000","F","2006-04-11T17:01:38.000","F","1"
"/cnrdoccont/doccont/regaccert.jasper","1","Registro Accertamenti","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/pagamenti_estero.jasper","1","Situazione Pagamenti all'Estero","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/regannentratecds.jasper","1","Registro Annotazioni di Entrata su Partita di Giro - CDS","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/regannentratecnr.jasper","1","Registro Annotazioni di Entrata su Partita di Giro - CNR","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/regannspesacds.jasper","1","Registro Annotazioni di Spesa su Partita di Giro - CDS","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/regannspesecnr.jasper","1","Registro Annotazioni di Spesa su Partita di Giro - CNR","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrpreventivo/pdg/analitica_spese_lda_a1.jasper","2","Situazione ANALITICA  per L.di A. Costi/Spese Anno Corrente","2006-06-08T15:22:35.000","SPASIA","2010-09-17T00:00:00.000","CED_RP","1"
"/cnrpreventivo/pdg/sintetica_spese_lda_a1.jasper","2","Situazione sintetica L.di A. Costi/Spese Anno Corrente","2006-06-08T15:22:35.000","SPASIA","2010-09-17T00:00:00.000","CED_RP","1"
"/cnrpreventivo/pdg/impdip.jasper","1","Imponibili Fiscali e Previdenziali Dipendenti","2006-06-08T15:22:35.000","SPASIA","2010-09-17T00:00:00.000","CED_RP","1"
"/cnrdoccont/doccont/stampaordine.jasper","1","Stampa Ordine","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/scadaccert.jasper","1","Scadenzario Accertamenti","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnranagrafica/clienti/prevdip.jasper","1","Elenco iscrizione previdenziale dipendenti","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/stampariscontri.jasper","1","Riscontri","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/stampasospesi.jasper","1","Sospesi","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrdoccont/doccont/sospesiasscds.jasper","1","Sospesi CNR assegnati ai cds","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_entrate_x_esercizio.jasper","3","Stampa entrate in c/residui per commessa/Esercizio Residuo","2007-01-18T14:20:27.000","F","2010-09-17T00:00:00.000","CED_RP","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_uscite_x_esercizio.jasper","3","Stampa uscite in c/residui per commessa/Esercizio Residuo","2007-01-18T14:20:27.000","F","2010-09-17T00:00:00.000","CED_RP","1"
"/preventivo/preventivo/Rendiconto_finanziario_decisionale_Parte_Entrate.jasper","3","Rendiconto finanziario Decisionale Entrate","2007-01-30T10:44:35.000","$$$$$MIGRAZIONE$$$$$","2010-09-17T00:00:00.000","CED_RP","1"
"/preventivo/preventivo/Rendiconto_finanziario_decisionale_Parte_Spese.jasper","3","Rendiconto finanziario Decisionale Spese","2007-01-30T10:44:35.000","$$$$$MIGRAZIONE$$$$$","2010-09-17T00:00:00.000","CED_RP","1"
"/preventivo/preventivo/Preventivo_finanziario_decisionale_Parte_Entrate.jasper","3","Preventivo finanziario Decisionale Entrate","2007-01-29T11:25:37.000","$$$$$MIGRAZIONE$$$$$","2010-09-17T00:00:00.000","CED_RP","1"
"/preventivo/preventivo/Preventivo_finanziario_decisionale_Parte_Spese.jasper","3","Preventivo finanziario Decisionale Spese","2007-01-29T11:25:37.000","$$$$$MIGRAZIONE$$$$$","2010-09-17T00:00:00.000","CED_RP","1"
"/cnrpreventivo/pdg/situazione_analitica_gae_res_uscite_x_voce.jasper","3","Stampa uscite in c/residui per voce","2007-03-16T15:28:37.000","F","2010-09-17T00:00:00.000","CED_RP","1"
"/cnrdocamm/docamm/registro_inventario_princ.jasper","3","Registro inventario","2008-06-09T00:00:00.000","CED_PR","2008-06-09T00:00:00.000","CED_PR","1"
"/cnrdoccont/doccont/stampa_sintetica_impegnato_x_fonte.jasper","2","Stampa Sintetica Impegnato per Fonte","2008-11-26T15:32:44.000","F","2010-09-17T00:00:00.000","CED_RP","1"
"/preventivo/pdg/stampa_ricostruzione_residui.rpt","4","Stampa Analitica delle Risorse provenienti dall'esercizio precedente","2005-07-22T18:30:25.000","TF","2005-07-22T18:30:25.000","TF","1"
"/registanaeco/movimenti/elencomovimentiperconto.rpt","5","Elenco Movimenti per Conto","2005-08-31T13:08:21.000","F","2005-08-31T13:08:21.000","F","1"
"/docamm/docamm/compenso_massivo.jasper","1","Stampa massiva compensi","2006-07-26T15:43:05.000","F","2010-11-17T00:00:00.000","CED","1"
"/preventivo/preventivo/Rendiconto_finanziario_gestionale_Parte_Entrate.jasper","2","Rendiconto finanziario Gestionale Entrate","2007-01-05T14:37:40.000","$$$$$MIGRAZIONE$$$$$","2007-01-05T14:37:40.000","$$$$$MIGRAZIONE$$$$$","1"
"/preventivo/preventivo/Rendiconto_finanziario_gestionale_Parte_Spese.jasper","2","Rendiconto finanziario Gestionale Spese","2007-01-05T14:37:40.000","$$$$$MIGRAZIONE$$$$$","2007-01-05T14:37:40.000","$$$$$MIGRAZIONE$$$$$","1"
"/Sigla_Dwh/confronto_SIGLA_DWH.jasper","1","Stampa Confronto SIGLA - DWH","2008-07-18T13:04:09.000","FG","2008-07-18T13:04:09.000","FG","1"
"/cnrdoccont/doccont/stampasospesiassreversali.jasper","1","Sospesi CNR associati a reversali","2006-06-08T15:22:35.000","SPASIA","2006-06-08T15:22:35.000","SPASIA","1"
"/cnrpreventivo/pdg/analitica_entrate_lda_a1.jasper","2","Situazione Analitica Linea di Attivit? Ricavi/Entrate Anno corrente","2006-06-08T15:22:35.000","SPASIA","2010-09-17T00:00:00.000","CED_RP","1"
