"cd_privilegio","ds_privilegio","dacr","duva","utcr","utuv","pg_ver_rec","ti_privilegio"
"FIFAEL","Abilitato alla firma della Fattura Elettronica","2014-06-10T00:00:00.000","2014-06-10T00:00:00.000","S.I.","S.I.","1","D"
"DIARIA","Abilitato ad autorizzare la diaria per particolari missioni estere ","2014-10-15T00:00:00.000","2014-10-15T00:00:00.000","CED","CED","1","C"
"SUPINC","Abilitato a tutte le funzioni degli incarichi (superutente)","2009-12-16T00:00:00.000","2011-04-01T00:00:00.000","S.I.","CED_RP","1","C"
"APPBIL","Abilitato ad approvare il Bilancio","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1","D"
"AGGINV","Abilitato ad aggiornare i valori in Inventario","2008-03-28T00:00:00.000","2011-04-01T00:00:00.000","S.I.","CED_RP","1","C"
"INVUFF","Abilitato stampa ufficiale Registro Inventario","2008-03-28T00:00:00.000","2011-04-01T00:00:00.000","S.I.","CED_RP","1","C"
"INSSIO","Abilitato alla gestione dei codici siope e istat","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1","D"
"SUPVIS","Abilitato alla selezione di tutti i CDS","2008-03-28T00:00:00.000","2011-04-01T00:00:00.000","S.I.","CED_RP","1","C"
"ELENCF","Abilitato all'Elenco Clienti\\Fornitori","2008-03-28T00:00:00.000","2011-04-01T00:00:00.000","S.I.","CED_RP","1","C"
"INSF24","Abilitato F24","2008-03-28T00:00:00.000","2011-04-01T00:00:00.000","S.I.","CED_RP","1","C"
"FATATT","Abilita la fattura attiva","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1","D"
"PUBSIT","Abilitato alla pubblicazione degli incarichi sul sito istituzionale CNR","2008-03-28T00:00:00.000","2011-04-01T00:00:00.000","S.I.","CED_RP","1","C"
"FUNINC","Abilitato alle funzioni avanzate degli incarichi (eliminazione e inserimento data proroga)","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1","D"
"DIRIST","Abilitato alle funzioni del Direttore di Istituto","2008-03-28T00:00:00.000","2008-03-28T00:00:00.000","S.I.","S.I.","1","D"
"MODVAR","Abilitato alla modifica delle descrizioni nelle Variazioni al PDG Comp e Stanz Res","2010-07-29T15:07:59.000","2011-04-01T00:00:00.000","FG","CED_RP","1","C"
"ALLTRA","Abilitato a vedere tutti i trattamenti","2011-04-29T00:00:00.000","2011-04-29T00:00:00.000","CED","CED","1","C"
"INSSOS","Abilitato inserimento sospensione cori in anagrafica","2009-05-06T00:00:00.000","2011-04-01T00:00:00.000","CED","CED_RP","1","C"
