"cd_proc_amm","ds_proc_amm","fl_cancellato","dacr","utcr","duva","utuv","pg_ver_rec","ti_proc_amm","fl_ricerca_incarico","incarico_ric_giorni_pubbl","incarico_ric_giorni_scad","cd_gruppo_file","fl_meramente_occasionale","codice_anac"
"PARTC","Spese per la partecipazioni a consorzi, società, associazioni temporanee","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"SUBAP","Subappalto","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"MODCO","Modifiche soggettive del contratto (p.e. cessione di ramo di azienda)","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"CON","Convenzione di cui all’art. 15 L. 241/1990","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"LOC","Locazione","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"COM","Comodato","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"DOGAN","Oneri e servizi doganali, dazi, IVA e altri oneri imposti per legge","N","2012-11-20T00:00:00.000","S.I.","2012-11-20T00:00:00.000","S.I.","1","FS","N","0","0","NULL","N","NULL"
"PA55","Procedura aperta ","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"PR55","Procedura ristretta ","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"PN56","Procedura negoziata con bando ","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"PN57","Procedura negoziata senza bando ","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"DC58","Dialogo competitivo ","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"ADC","Adesione convenzione Consip ","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"PE125","Procedura in economia: cottimo fiduciario","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"AF125","Procedura in economia: affidamento diretto","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"CA","Contratto attivo","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"163","163/2006 CNR Operatore Economico","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"MI5","Individuazione del collaboratore da parte del soggetto finanziatore / partner contrattuale","N","2012-11-20T00:00:00.000","S.I.","2012-11-20T00:00:00.000","S.I.","1","MI","N","0","0","NULL","N","NULL"
"MI6","Esperto di indiscussa fama internazionale nel relativo settore scientifico","N","2012-11-20T00:00:00.000","S.I.","2012-11-20T00:00:00.000","S.I.","1","MI","N","0","0","NULL","N","NULL"
"COND","Oneri accessori alla proprietà di immobili (spese condominiali)","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"MI7","Bandi per formazione su Progetti Nazionali e Regionali","N","2012-11-20T00:00:00.000","S.I.","2012-11-20T00:00:00.000","S.I.","1","MI","N","0","0","NULL","N","NULL"
"PI","Pubblico Incanto","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","FS","N","0","0","NULL","N","NULL"
"LP","Licitazione Privata","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","FS","N","0","0","NULL","N","NULL"
"AC","Appalto Concorso","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","FS","N","0","0","NULL","N","NULL"
"TP","Trattativa Privata","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","FS","N","0","0","NULL","N","NULL"
"CO","Consip","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","FS","N","0","0","NULL","N","NULL"
"REC","Recupero da Documenti","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","FS","N","0","0","NULL","N","NULL"
"FIN","Attribuzione di finanziamenti attivi all'attività di ricerca","N","2005-06-15T11:38:32.000","TATARELLIR","2005-06-15T11:38:32.000","TATARELLIR","1","FS","N","0","0","NULL","N","NULL"
"INC2","Procedura SENZA l'obbligo della verifica di professionalità interna e CON procedura comparativa","N","2007-10-17T11:08:51.000","CROSATI","2007-11-09T16:17:52.000","106C","4","AI","N","14","60","00001","N","NULL"
"INC3","Procedura SENZA l'obbligo della verifica di professionalità interna e SENZA procedura comparativa","N","2007-10-17T11:08:51.000","CROSATI","2007-11-09T16:18:28.000","106C","4","AI","N","0","0","00001","Y","NULL"
"INC1","Procedura CON l'obbligo della verifica di professionalità interna e CON procedura comparativa","N","2007-10-17T11:09:09.000","CROSATI","2007-11-09T16:19:33.000","106C","4","AI","Y","14","60","00001","N","NULL"
"INC5","Compensi a terzi imposti da autorità giudiziarie","Y","2007-10-17T11:08:51.000","CROSATI","2007-11-09T16:18:28.000","106C","4","AI","N","0","0","NULL","N","NULL"
"INC6","Procedura CON l'obbligo della verifica di professionalità interna e SENZA procedura comparativa","Y","2008-10-23T11:08:51.000","CED","2008-10-23T16:18:28.000","CED","1","AI","Y","0","0","00001","Y","NULL"
"INC4","Ricostruzione","Y","2007-10-17T11:08:51.000","CROSATI","2007-11-09T16:18:28.000","106C","4","AI","N","0","0","00001","N","NULL"
"APPUB","Appalti pubblici stipulati tramite centrali di committenza","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"COST","Cost Action Reimbursement (COST)","N","2012-12-18T11:38:32.000","CEDRC","2012-12-18T11:38:32.000","CEDRC","1","FS","N","0","0","NULL","N","NULL"
"QUOTE","Quote associative del CNR ad enti/associazioni per la ricerca","N","2012-11-20T00:00:00.000","S.I.","2012-11-20T00:00:00.000","S.I.","1","FS","N","0","0","NULL","N","NULL"
"MI1","Procedura comparativa","N","2012-11-20T00:00:00.000","S.I.","2012-11-20T00:00:00.000","S.I.","1","MI","N","0","0","NULL","N","NULL"
"MI2","Bando pubblico per il conferimento di un assegno di ricerca","N","2012-11-20T00:00:00.000","S.I.","2012-11-20T00:00:00.000","S.I.","1","MI","N","0","0","NULL","N","NULL"
