"cd_regione","ds_regione","dacr","utcr","duva","utuv","pg_ver_rec","fl_addreg_aliqmax","cd_regione_uff"
"*","REGIONE NON SPECIFICATA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","NULL"
"01","PIEMONTE","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2014-02-21T08:05:39.000","CED_PR_NO_aliq_max","2","N","13"
"02","VALLE D'AOSTA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","20"
"03","LOMBARDIA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","10"
"04","TRENTO","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2014-11-20T15:40:51.000","CED_PR_flag_aliq_max","2","N","18"
"05","VENETO","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2014-02-21T11:06:07.000","CED_PR_NO_aliq_max","2","N","21"
"06","FRIULI VENEZIA GIULIA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2013-01-14T00:00:00.000","CED_PR_flag_aliq_max","2","Y","07"
"07","LIGURIA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2015-01-22T08:22:53.000","CED_PR_NO_aliq_max","2","N","09"
"08","EMILIA ROMAGNA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2015-01-22T08:23:20.000","CED_PR_NO_aliq_max","3","N","06"
"09","TOSCANA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","17"
"10","UMBRIA","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2014-02-21T08:06:07.000","CED_PR_NO_aliq_max","2","N","19"
"11","MARCHE","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","11"
"12","LAZIO","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","08"
"13","ABRUZZO","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","01"
"14","MOLISE","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:24.000","$$$$$MIGRAZIONE$$$$$","2","N","12"
"15","CAMPANIA","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2","N","05"
"16","PUGLIA","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2013-01-14T00:00:00.000","CED_PR_flag_aliq_max","2","N","14"
"17","BASILICATA","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2014-11-20T15:40:51.000","CED_PR_flag_aliq_max","2","N","02"
"18","CALABRIA","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2014-02-21T11:06:07.000","CED_PR_NO_aliq_max","2","N","04"
"19","SICILIA","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2","N","16"
"20","SARDEGNA","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2002-06-04T15:39:25.000","$$$$$MIGRAZIONE$$$$$","2","N","15"
"21","BOLZANO","2003-01-31T00:00:00.000","$$$$$CINECA$$$$$","2011-02-09T00:00:00.000","CED","1","N","03"
