"pg_rif_inquadramento","cd_profilo","cd_progressione","cd_livello","ds_inquadramento","ti_dipendente_altro","cd_gruppo_inquadramento","dacr","utcr","duva","utuv","pg_ver_rec"
"106","00","40","NULL","Direttore di Dipartimento","D","1","2014-08-01T10:36:23.000","FARINELLIR","2014-08-01T10:36:23.000","FARINELLIR","1"
"103","00","3Z","NULL","Direttore di Istituto f.f.","D","1","2013-03-28T11:33:41.000","FARINELLIR","2013-03-28T11:33:41.000","FARINELLIR","1"
"104","00","31","NULL","Direttore di Istituto","D","1","2013-07-26T15:10:12.000","TADDEIN","2013-07-26T15:10:12.000","TADDEIN","1"
"76","00","21","NULL","Direttore di Istituto Incaricato","D","1","2006-07-06T00:00:00.000","FG","2006-07-06T00:00:00.000","FG","1"
"77","00","22","NULL","Direttore di Istituto Incaricato","D","1","2006-07-06T00:00:00.000","FG","2006-07-06T00:00:00.000","FG","1"
"81","D","00","NULL","Dirigente Generale Incaricato","D","1","2007-02-02T14:12:57.000","NUCCILLIC","2007-02-02T14:12:57.000","NUCCILLIC","1"
"84","00","30","NULL","Direttore di Istituto","D","1","2008-05-08T15:13:16.000","NUCCILLIC","2008-05-08T15:13:16.000","NUCCILLIC","1"
"98","00","3H","NULL","Direttore di Istituto","D","1","2011-01-24T12:06:29.000","FARINELLIR","2011-01-24T12:06:29.000","FARINELLIR","1"
"100","00","3G","NULL","Direttore di Istituto","D","1","2011-01-26T10:28:37.000","FARINELLIR","2011-01-26T10:28:37.000","FARINELLIR","1"
"72","00","20","NULL","Direttore di Istituto Incaricato","D","1","2006-05-16T12:38:08.000","FG","2006-05-16T12:38:08.000","FG","1"
"73","00","02","NULL","Direttore di Dipartimento","D","1","2006-05-16T12:38:08.000","FG","2006-05-16T12:38:08.000","FG","1"
"74","00","16","NULL","Direttore di Istituto Incaricato","D","1","2006-05-16T12:38:08.000","FG","2006-05-16T12:38:08.000","FG","1"
"75","D","5","NULL","Dirigente II fascia Incaricato","D","3","2006-05-16T12:38:08.000","FG","2007-02-02T14:11:37.000","NUCCILLIC","2"
"95","00","3E","NULL","Direttore di Istituto","D","1","2010-10-15T15:34:41.000","FARINELLIR","2010-10-15T15:34:41.000","FARINELLIR","1"
"102","00","3K","NULL","Direttore di Istituto","D","1","2011-08-02T14:27:43.000","FARINELLIR","2011-08-02T14:27:43.000","FARINELLIR","1"
"91","00","3A","NULL","Direttore di Istituto","D","1","2010-08-12T10:26:57.000","FARINELLIR","2010-08-12T10:26:57.000","FARINELLIR","1"
"93","00","3C","NULL","Direttore di Istituto","D","1","2010-08-12T10:27:49.000","FARINELLIR","2010-08-12T10:27:49.000","FARINELLIR","1"
"94","00","3D","NULL","Direttore di Istituto","D","1","2010-08-12T10:28:15.000","FARINELLIR","2010-08-12T10:28:15.000","FARINELLIR","1"
"87","00","A2","NULL","Direttore di Dipartimento","D","1","2010-08-12T10:23:48.000","FARINELLIR","2010-08-12T10:23:48.000","FARINELLIR","1"
"90","00","D2","NULL","Direttore di Dipartimento","D","1","2010-08-12T10:25:45.000","FARINELLIR","2010-08-12T10:25:45.000","FARINELLIR","1"
"92","00","3B","NULL","Direttore di Istituto","D","1","2010-08-12T10:27:25.000","FARINELLIR","2010-08-12T10:27:25.000","FARINELLIR","1"
"78","00","23","NULL","Direttore di Istituto Incaricato","D","1","2007-01-24T12:23:19.000","NUCCILLIC","2007-01-24T12:23:19.000","NUCCILLIC","1"
"62","00","15","NULL","Direttore di Istituto Incaricato","D","1","2005-07-18T10:43:31.000","CNR-PG","2005-07-20T10:43:41.000","PG","1"
"61","00","11","NULL","Direttore di Istituto Incaricato","D","1","2005-06-30T10:43:31.000","CNR-PG","2005-07-20T10:43:41.000","PG","1"
"69","D","4","NULL","Dirigente I fascia incaricato","D","1","2006-02-13T12:39:59.000","PG","2007-02-02T14:10:33.000","NUCCILLIC","2"
"70","D","3","NULL","Dirigente di II fascia ","D","3","2006-02-13T12:39:52.000","PG","2007-02-02T14:14:01.000","NUCCILLIC","3"
"71","00","50","NULL","Uffici Diretta Collaborazione","D","3","2006-02-13T12:39:44.000","PG","2006-02-13T12:39:46.000","PG","1"
"79","00","24","NULL","Direttore di Istituto Incaricato","D","1","2007-01-31T14:12:57.000","NUCCILLIC","2007-01-31T14:12:57.000","NUCCILLIC","1"
"85","00","27","NULL","Giornalista Esperto","D","3","2008-11-27T15:42:30.000","NUCCILLIC","2008-11-27T15:42:30.000","NUCCILLIC","1"
"88","00","B2","NULL","Direttore di Dipartimento","D","1","2010-08-12T10:24:42.000","FARINELLIR","2010-08-12T10:24:42.000","FARINELLIR","1"
"89","00","C2","NULL","Direttore di Dipartimento","D","1","2010-08-12T10:25:16.000","FARINELLIR","2010-08-12T10:25:16.000","FARINELLIR","1"
