"cd_modalita_pag","ds_modalita_pag","codice_cassiere","ti_pagamento","dacr","utcr","duva","utuv","pg_ver_rec","fl_per_cessione","fl_utilizzabile_art35","fl_cancellato","fl_flusso","tipo_pagamento_sdi","fl_all_obbl_mandato","fl_conto_bi","ti_mandato"
"DELB","Delega bancario","NULL","B","2017-11-07T10:51:10.000","ISS","2017-11-07T10:51:10.000","ISS","1","Y","N","N","N","NULL","NULL","NULL","NULL"
"M1210","Pagamento estero (Mod. 1210)","NULL","A","2002-11-22T17:42:34.000","$$$$$MIGRAZIONE$$$$$","2002-11-22T17:42:34.000","$$$$$MIGRAZIONE$$$$$","1","N","N","N","N","NULL","NULL","NULL","S"
"QT3","UGANDA","NULL","Q","2017-07-20T13:33:14.000","MIGRAZIONE","2007-01-30T12:46:32.000","FIORETTOT","1","N","N","N","N","NULL","N","N","NULL"
"CE1","CESSIONE DI CREDITO CON BONIFI","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2008-01-15T15:57:11.000","TROPEANO","1","N","N","N","N","NULL","N","N","NULL"
"BO5","Bonifico","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2006-08-01T14:11:02.000","MATRASCIA","1","N","N","N","N","NULL","N","N","NULL"
"CE2","CESSIONE DEL CREDITO CON BONIF","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2009-01-19T16:45:54.000","NUSCAM","1","N","N","N","N","NULL","N","N","NULL"
"CCD","CONTO CORRENTE DEDICATO","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2010-09-27T11:33:06.000","FIORETTOT","1","N","N","N","N","NULL","N","N","NULL"
"CD1","CONTO CORRENTE DEDICATO ALTERN","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2010-09-30T12:29:10.000","PANTANELLAL","1","N","N","N","Y","NULL","N","N","NULL"
"FEP","F24 ENTI PUBBLICI","NULL","A","2017-07-20T13:33:14.000","MIGRAZIONE","2011-02-18T10:01:37.000","FIORETTOT","1","N","N","N","N","NULL","N","Y","NULL"
"BO9","Bonifico","NULL","Q","2017-07-20T13:33:14.000","MIGRAZIONE","2014-01-30T16:15:22.000","RICCIP","1","N","N","N","Y","NULL","N","N","NULL"
"BO6","BONIFICO","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2006-08-01T14:11:02.000","MATRASCIA","1","N","N","N","N","NULL","N","N","NULL"
"BE3","BONIFICO ESTERO ALTERNATIVO","NULL","N","2017-07-20T13:33:14.000","MIGRAZIONE","2007-09-07T11:58:36.000","ALIMONTID","1","N","N","N","N","NULL","N","N","NULL"
"BO7","BONIFICO","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2008-12-29T14:14:17.000","SYSTEM","1","N","N","N","Y","NULL","N","N","NULL"
"QT2","Quietanza","NULL","Q","2017-07-20T13:33:14.000","MIGRAZIONE","2009-03-30T12:29:32.000","FIORETTOT","1","N","N","N","N","NULL","N","N","NULL"
"CE3","CESSIONE DI CREDITO CON BONIFI","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2009-05-07T13:30:33.000","FIORETTOT","1","N","N","N","Y","NULL","N","N","NULL"
"BO8","Bonifico","NULL","B","2017-07-20T13:33:14.000","MIGRAZIONE","2011-03-02T12:42:30.000","WENZELA","1","N","N","N","N","NULL","N","N","NULL"
"F24","F24 ON LINE","NULL","A","2017-07-20T13:33:14.000","MIGRAZIONE","2007-03-21T12:13:42.000","RICCIP1","1","N","N","N","Y","NULL","N","N","NULL"
