"cd_ruolo","ds_ruolo","duva","utuv","dacr","utcr","pg_ver_rec","cd_cds","tipo"
"SACVARPLUS","Accessi per le variazioni ","2015-03-19T09:51:58.000","CDS000","2011-03-16T14:40:21.000","CDS000","6","000","DIRIST"
"VISUALIZZATUTTO","Visualizzazione di tutta l'applicazione","2014-05-07T16:10:17.000","CNRTUTTO","2014-05-07T16:10:17.000","CNRTUTTO","1","NULL","VTUTTO"
"BREVETTI","Gestione brevetti","2016-09-16T11:10:37.000","CNRTUTTO","2016-09-16T15:14:37.000","CNRTUTTO","8","NULL","NULL"
"SIPER","SIPER","2003-06-11T11:10:37.000","CNRTUTTO","2002-11-27T15:14:37.000","CNRTUTTO","8","NULL","NULL"
"FIRMA1210","Firma 1210","2016-01-29T12:09:52.000","CDSRAG","2016-01-29T12:09:52.000","CDSRAG","1","000","NULL"
"BLT_VISIT","Ruolo per la gestione delle Visite degli Accordi Bilaterali","2012-07-20T17:03:24.000","CDS000","2012-07-20T17:03:24.000","CDS000","1","000","NULL"
"FIRMAELE","Abilitazione Firma elettronica","2014-09-26T10:48:10.000","CED_RP","2010-10-12T14:18:07.000","CED_RP","1","NULL","FIRMAE"
"ABILITADIARIA","Ruolo che abilita ad avere la diaria per particolari missioni estere ","2014-10-17T00:00:00.000","CED","2014-10-17T00:00:00.000","CED","1","000","MISDIA"
"FIRMAMAN","Firma mandati","2016-01-29T12:08:39.000","CDSRAG","2016-01-29T12:08:39.000","CDSRAG","1","000","NULL"
"ENTIACC","Ruolo 2005 per enti accorpati","2005-12-05T12:55:47.000","CNRTUTTO","2005-11-08T16:16:49.000","CNRTUTTO","7","000","NULL"
"UTENTESACV","acessi per uffici SAC in VISUALIZZAZIONE","2011-04-19T18:09:50.000","CDS000","2011-04-19T10:57:08.000","FG","2","000","DIRIST"
"SACFATT","Ruolo per inserimento fatture e note di credito","2011-06-10T10:42:55.000","CDS000","2011-06-10T10:42:55.000","CDS000","1","000","NULL"
"PDGPC","Ruolo per utenze PDGPxxxC di compilazione","2017-01-10T11:35:57.000","CNRTUTTO","2005-10-27T11:01:35.000","CNRTUTTO","2","000","NULL"
"INCARICFP","Incarichi per invio Funzione Pubblica","2010-10-12T14:18:07.000","CDS000","2010-10-12T14:18:07.000","CDS000","1","000","NULL"
"STIPENDI","Acessi per stipendi per NUCCILLI LAGO FARINELLI TADDEI LUCARELLI","2009-04-15T10:28:12.000","CNRTUTTO","2006-10-19T15:30:17.000","CDSRAG","9","000","NULL"
"ISTSIO","Gestione Istat Siope","2007-05-16T16:32:03.000","CNRTUTTO","2007-05-16T16:32:03.000","CNRTUTTO","1","000","ISTSIO"
"SACVAR","Accessi per le variazioni a competenza","2014-12-03T14:54:54.000","CDS000","2011-03-16T14:40:21.000","CDS000","2","000","NULL"
"VISUALINVENT","Visualizzazione Inventario","2008-08-05T00:00:00.000","CNRTUTTO","2008-08-05T00:00:00.000","CNRTUTTO","1","NULL","NULL"
"TUTTI_TRATT","Ruolo abilitato a vedere tutti i trattamenti","2011-04-29T00:00:00.000","CED","2011-04-29T00:00:00.000","CED","1","000","TRATT"
"DIPPDG","visualizzazione pdg istituti aff. per dipartimenti","2012-04-23T09:02:58.000","CNRTUTTO","2006-04-21T14:31:43.000","CNRTUTTO","12","000","NULL"
"F24EP","Abilitato F24 Enti Pubblici","2008-02-01T14:44:48.000","CED_RP","2008-02-01T14:44:48.000","CED_RP","1","000","F24EP"
"UTENTESACPLUS","accessi SAC + gest. compensi minicarriera e fattura passiva","2008-07-29T15:00:34.000","CDSRAG","2008-07-18T00:00:00.000","CNRTUTTO","2","000","DIRIST"
"FISCORIT","Ragioneria ritenute per TARDIOLA e FERRARA","2011-03-02T09:16:18.000","CNRTUTTO","2008-06-27T00:00:00.000","CNRTUTTO","4","000","FISCOR"
"CINCASSIER","acquisizione flusso BNL","2008-07-21T12:39:38.000","CDSBIL","2008-07-21T12:39:38.000","CDSBIL","1","000","NULL"
"BRANCASI2","tutti gli accessi per utenze su istituti da usare in sede centrale SOLO PER SISTEMI INFORMATIVI ","2017-12-18T11:31:45.000","ISSTUTTO","2003-06-10T12:26:38.000","CNRTUTTO","23","000","TUTTO"
"ECF","Abilitato a Elenco C/F","2007-10-09T17:36:23.000","CNRTUTTO","2007-10-09T17:36:23.000","CNRTUTTO","1","000","ECF"
"FATTURATT","Modifica della modalit? bancarie della fattura attiva","2008-05-06T00:00:00.000","FG","2008-05-06T00:00:00.000","FG","1","NULL","BANCAM"
"057CC",".","2006-01-24T15:28:47.000","CNRTUTTO","2006-01-24T15:28:47.000","CNRTUTTO","1","NULL","NULL"
"CONSULTA","Consultazioni","2008-03-07T13:19:55.000","CNRTUTTO","2008-03-07T13:19:55.000","CNRTUTTO","1","NULL","NULL"
