"cd_ruolo","cd_accesso","utuv","dacr","utcr","duva","pg_ver_rec"
"ENTRATE","CFGLINATTTABRINSLATM","CNRTUTTO","2002-11-27T11:45:18.000","CNRTUTTO","2002-11-27T11:45:18.000","1"
"ENTRATE","CFGLINATTCORELINATTM","CNRTUTTO","2002-11-27T11:45:18.000","CNRTUTTO","2002-11-27T11:45:18.000","1"
"ENTRATE","CFGLINATTASSC000010V","CNRTUTTO","2002-11-27T11:45:18.000","CNRTUTTO","2002-11-27T11:45:18.000","1"
"ENTRATE","CFGLINATTASSC000010M","CNRTUTTO","2002-11-27T11:45:18.000","CNRTUTTO","2002-11-27T11:45:18.000","1"
"SPESA","PRVVARBILTABRCAUVBIV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","PRVVARBILCOREVARBILV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","PRVPDGESTCOREPDGSPEV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","PRVPDGESTCOREPDGETRV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","PRVPDGESTCOREPDGCORV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","PRVBIPREVCOREBPRCNRV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","PRVBIPREVCOREBPRCDSV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGTABRTPCONSV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGTABRTIPOBBV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGCOREOBBLPRV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGCOREOBBLPRM","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGCOREOBBLIGV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGCOREOBBLIGM","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGCOREOBBLDFV","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGCOREOBBLDFM","CNRTUTTO","2002-11-27T12:01:46.000","CNRTUTTO","2002-11-27T12:01:46.000","1"
"SPESA","DOCOBBLIGCOREOBBCNFM","CNRTUTTO","2002-11-27T12:01:47.000","CNRTUTTO","2002-11-27T12:01:47.000","1"
"SPESA","DOCOBBLIGCOREIMPPIGV","CNRTUTTO","2002-11-27T12:01:47.000","CNRTUTTO","2002-11-27T12:01:47.000","1"
"SPESA","DOCOBBLIGCOREIMPPIGM","CNRTUTTO","2002-11-27T12:01:47.000","CNRTUTTO","2002-11-27T12:01:47.000","1"
"SPESA","DOCMANDATTABRTIBOLLV","CNRTUTTO","2002-11-27T12:01:47.000","CNRTUTTO","2002-11-27T12:01:47.000","1"
