"cd_contributo_ritenuta","ti_anagrafico","dt_inizio_validita","im_inferiore","cd_regione","cd_provincia","pg_comune","ti_ente_percipiente","im_superiore","aliquota","base_calcolo","dt_fine_validita","dacr","utcr","duva","utuv","pg_ver_rec"
"IRAP","*","2000-01-01T00:00:00.000","0.00","*","*","0","E","999999999.00","8.500000","100","2003-07-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","*","*","0","E","999999999.00","4.250000","100","2003-07-31T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"RAIRPEF","*","1998-01-01T00:00:00.000","0.00","*","*","0","P","999999999.00","20.000000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"RIVALSA2","*","1998-01-01T00:00:00.000","0.00","*","*","0","E","999999999.00","2.000000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","02","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","04","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","05","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","01","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","07","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","08","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","09","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","10","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","11","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","12","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","13","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","14","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","15","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","16","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","17","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","18","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","19","*","0","E","999999999.00","8.500000","100","2200-12-31T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","1"
"IRAP","*","2000-01-01T00:00:00.000","0.00","20","*","0","E","999999999.00","8.500000","100","2014-09-30T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2014-09-29T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","01","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","02","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","03","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","04","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","05","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","06","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","07","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","08","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","09","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","10","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","11","*","0","E","999999999.00","4.250000","100","2008-02-26T01:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2008-02-26T00:00:00.000","CED","2"
"IRAPCOM","*","2002-01-01T00:00:00.000","0.00","12","*","0","E","999999999.00","4.250000","100","2007-02-11T00:00:00.000","2003-01-13T00:00:00.000","$$$$$CINECA$$$$$","2007-02-12T12:26:13.000","NUCCILLIC","2"
