"cd_catastale","ds_comune","cd_provincia","aliquota","im_inferiore","im_superiore"
"B498","CAMPAGNOLA CREMASCA","CR","0.320000","15000.01","28000.00"
"B498","CAMPAGNOLA CREMASCA","CR","0.350000","28000.01","55000.00"
"B498","CAMPAGNOLA CREMASCA","CR","0.500000","55000.01","75000.00"
"B498","CAMPAGNOLA CREMASCA","CR","0.700000","75000.01","999999999.99"
"B499","CAMPAGNOLA EMILIA","RE","0.290000","0.00","15000.00"
"B499","CAMPAGNOLA EMILIA","RE","0.300000","15000.01","28000.00"
"B499","CAMPAGNOLA EMILIA","RE","0.400000","28000.01","55000.00"
"B499","CAMPAGNOLA EMILIA","RE","0.790000","55000.01","75000.00"
"B499","CAMPAGNOLA EMILIA","RE","0.800000","75000.01","999999999.99"
"B500","CAMPANA","CS","0.400000","0.00","15000.00"
"B500","CAMPANA","CS","0.500000","15000.01","28000.00"
"B500","CAMPANA","CS","0.600000","28000.01","55000.00"
"B500","CAMPANA","CS","0.700000","55000.01","75000.00"
"B500","CAMPANA","CS","0.800000","75000.01","999999999.99"
"B501","CAMPARADA","MB","0.500000","0.00","15000.00"
"B501","CAMPARADA","MB","0.510000","15000.01","28000.00"
"B501","CAMPARADA","MB","0.600000","28000.01","55000.00"
"B501","CAMPARADA","MB","0.700000","55000.01","75000.00"
"B501","CAMPARADA","MB","0.710000","75000.01","999999999.99"
"B502","CAMPEGINE","RE","0.700000","0.00","15000.00"
"B502","CAMPEGINE","RE","0.730000","15000.01","28000.00"
"B502","CAMPEGINE","RE","0.750000","28000.01","55000.00"
"B502","CAMPEGINE","RE","0.780000","55000.01","75000.00"
"B502","CAMPEGINE","RE","0.800000","75000.01","999999999.99"
"B507","CAMPI BISENZIO","FI","0.760000","0.00","15000.00"
"B507","CAMPI BISENZIO","FI","0.770000","15000.01","28000.00"
"B507","CAMPI BISENZIO","FI","0.780000","28000.01","55000.00"
"B507","CAMPI BISENZIO","FI","0.790000","55000.01","75000.00"
"B507","CAMPI BISENZIO","FI","0.800000","75000.01","999999999.99"
"B509","CAMPIGLIA MARITTIMA","LI","0.590000","0.00","15000.00"
"B509","CAMPIGLIA MARITTIMA","LI","0.600000","15000.01","28000.00"
"B509","CAMPIGLIA MARITTIMA","LI","0.780000","28000.01","55000.00"
"B509","CAMPIGLIA MARITTIMA","LI","0.790000","55000.01","75000.00"
"B509","CAMPIGLIA MARITTIMA","LI","0.800000","75000.01","999999999.99"
"B512","CAMPIGLIONE FENILE","TO","0.450000","0.00","15000.00"
"B512","CAMPIGLIONE FENILE","TO","0.550000","15000.01","28000.00"
"B512","CAMPIGLIONE FENILE","TO","0.650000","28000.01","55000.00"
"B512","CAMPIGLIONE FENILE","TO","0.700000","55000.01","75000.00"
"B512","CAMPIGLIONE FENILE","TO","0.800000","75000.01","999999999.99"
"B513","CAMPIONE D'ITALIA","CO","0.350000","0.00","15000.00"
"B513","CAMPIONE D'ITALIA","CO","0.450000","15000.01","28000.00"
"B513","CAMPIONE D'ITALIA","CO","0.600000","28000.01","55000.00"
"B513","CAMPIONE D'ITALIA","CO","0.750000","55000.01","75000.00"
"B513","CAMPIONE D'ITALIA","CO","0.800000","75000.01","999999999.99"
"B537","CAMPOFRANCO","CL","0.300000","0.00","15000.00"
"B537","CAMPOFRANCO","CL","0.600000","15000.01","28000.00"
"B537","CAMPOFRANCO","CL","0.780000","28000.01","55000.00"
"B537","CAMPOFRANCO","CL","0.790000","55000.01","75000.00"
"B537","CAMPOFRANCO","CL","0.800000","75000.01","999999999.99"
"B563","CAMPOSAMPIERO","PD","0.450000","0.00","15000.00"
"B563","CAMPOSAMPIERO","PD","0.550000","15000.01","28000.00"
"B563","CAMPOSAMPIERO","PD","0.650000","28000.01","55000.00"
"B563","CAMPOSAMPIERO","PD","0.750000","55000.01","75000.00"
"B563","CAMPOSAMPIERO","PD","0.800000","75000.01","999999999.99"
"B564","CAMPO SAN MARTINO","PD","0.500000","0.00","15000.00"
"B564","CAMPO SAN MARTINO","PD","0.600000","15000.01","28000.00"
"B564","CAMPO SAN MARTINO","PD","0.700000","28000.01","55000.00"
"B564","CAMPO SAN MARTINO","PD","0.750000","55000.01","75000.00"
"B564","CAMPO SAN MARTINO","PD","0.800000","75000.01","999999999.99"
"B566","CAMPOSANTO","MO","0.500000","0.00","15000.00"
"B566","CAMPOSANTO","MO","0.600000","15000.01","28000.00"
"B566","CAMPOSANTO","MO","0.700000","28000.01","55000.00"
"B566","CAMPOSANTO","MO","0.790000","55000.01","75000.00"
"B566","CAMPOSANTO","MO","0.800000","75000.01","999999999.99"
"B573","CANALE","CN","0.600000","0.00","15000.00"
"B573","CANALE","CN","0.700000","15000.01","28000.00"
"B573","CANALE","CN","0.770000","28000.01","55000.00"
"B573","CANALE","CN","0.780000","55000.01","75000.00"
"B573","CANALE","CN","0.800000","75000.01","999999999.99"
"B584","CANDELA","FG","0.400000","0.00","15000.00"
"B584","CANDELA","FG","0.410000","15000.01","28000.00"
"B584","CANDELA","FG","0.500000","28000.01","55000.00"
"B584","CANDELA","FG","0.590000","55000.01","75000.00"
"B584","CANDELA","FG","0.600000","75000.01","999999999.99"
"B615","CANNOBIO","VB","0.600000","0.00","15000.00"
"B615","CANNOBIO","VB","0.650000","15000.01","28000.00"
"B615","CANNOBIO","VB","0.700000","28000.01","55000.00"
"B615","CANNOBIO","VB","0.750000","55000.01","75000.00"
"B615","CANNOBIO","VB","0.800000","75000.01","999999999.99"
"B627","CANTALICE","RI","0.400000","0.00","15000.00"
"B627","CANTALICE","RI","0.600000","15000.01","28000.00"
"B627","CANTALICE","RI","0.700000","28000.01","55000.00"
"B627","CANTALICE","RI","0.790000","55000.01","75000.00"
"B627","CANTALICE","RI","0.800000","75000.01","999999999.99"
"B639","CANTU'","CO","0.700000","0.00","15000.00"
"B639","CANTU'","CO","0.740000","15000.01","28000.00"
"B639","CANTU'","CO","0.760000","28000.01","55000.00"
"B639","CANTU'","CO","0.780000","55000.01","75000.00"
"B639","CANTU'","CO","0.800000","75000.01","999999999.99"
"B646","CAPALBIO","GR","0.590000","0.00","15000.00"
"B646","CAPALBIO","GR","0.600000","15000.01","28000.00"
"B646","CAPALBIO","GR","0.730000","28000.01","55000.00"
"B646","CAPALBIO","GR","0.760000","55000.01","75000.00"
"B646","CAPALBIO","GR","0.800000","75000.01","999999999.99"
"B647","CAPANNOLI","PI","0.700000","0.00","15000.00"
"B647","CAPANNOLI","PI","0.750000","15000.01","28000.00"
"B647","CAPANNOLI","PI","0.770000","28000.01","55000.00"
"B647","CAPANNOLI","PI","0.780000","55000.01","75000.00"
"B647","CAPANNOLI","PI","0.800000","75000.01","999999999.99"
"B648","CAPANNORI","LU","0.760000","0.00","15000.00"
"B648","CAPANNORI","LU","0.770000","15000.01","28000.00"
"B648","CAPANNORI","LU","0.780000","28000.01","55000.00"
"B648","CAPANNORI","LU","0.790000","55000.01","75000.00"
"B648","CAPANNORI","LU","0.800000","75000.01","999999999.99"
"B653","CAPIAGO INTIMIANO","CO","0.600000","0.00","15000.00"
"B653","CAPIAGO INTIMIANO","CO","0.650000","15000.01","28000.00"
"B653","CAPIAGO INTIMIANO","CO","0.700000","28000.01","55000.00"
"B653","CAPIAGO INTIMIANO","CO","0.750000","55000.01","75000.00"
"B653","CAPIAGO INTIMIANO","CO","0.800000","75000.01","999999999.99"
"B662","PONTE NELLE ALPI","BL","0.550000","0.00","15000.00"
"B662","PONTE NELLE ALPI","BL","0.700000","15000.01","28000.00"
"B662","PONTE NELLE ALPI","BL","0.750000","28000.01","55000.00"
"B662","PONTE NELLE ALPI","BL","0.790000","55000.01","75000.00"
"B662","PONTE NELLE ALPI","BL","0.800000","75000.01","999999999.99"
"B675","CAPOTERRA","CA","0.600000","0.00","15000.00"
"B675","CAPOTERRA","CA","0.650000","15000.01","28000.00"
"B675","CAPOTERRA","CA","0.780000","28000.01","55000.00"
"B675","CAPOTERRA","CA","0.790000","55000.01","75000.00"
"B675","CAPOTERRA","CA","0.800000","75000.01","999999999.99"
"B681","CAPPELLE SUL TAVO","PE","0.500000","0.00","15000.00"
"B681","CAPPELLE SUL TAVO","PE","0.650000","15000.01","28000.00"
"B681","CAPPELLE SUL TAVO","PE","0.700000","28000.01","55000.00"
"B681","CAPPELLE SUL TAVO","PE","0.750000","55000.01","75000.00"
"B681","CAPPELLE SUL TAVO","PE","0.800000","75000.01","999999999.99"
"B684","CAPRAIA E LIMITE","FI","0.630000","0.00","15000.00"
"B684","CAPRAIA E LIMITE","FI","0.700000","15000.01","28000.00"
"B684","CAPRAIA E LIMITE","FI","0.780000","28000.01","55000.00"
"B684","CAPRAIA E LIMITE","FI","0.790000","55000.01","75000.00"
"B684","CAPRAIA E LIMITE","FI","0.800000","75000.01","999999999.99"
"B711","CAPRIOLO","BS","0.440000","0.00","15000.00"
"B711","CAPRIOLO","BS","0.530000","15000.01","28000.00"
"B711","CAPRIOLO","BS","0.620000","28000.01","55000.00"
"B711","CAPRIOLO","BS","0.710000","55000.01","75000.00"
"B711","CAPRIOLO","BS","0.800000","75000.01","999999999.99"
"B716","CAPURSO","BA","0.500000","0.00","15000.00"
"B716","CAPURSO","BA","0.600000","15000.01","28000.00"
"B716","CAPURSO","BA","0.700000","28000.01","55000.00"
"B716","CAPURSO","BA","0.750000","55000.01","75000.00"
"B716","CAPURSO","BA","0.800000","75000.01","999999999.99"
"B719","CARAGLIO","CN","0.400000","0.00","15000.00"
"B719","CARAGLIO","CN","0.610000","15000.01","28000.00"
"B719","CARAGLIO","CN","0.780000","28000.01","55000.00"
"B719","CARAGLIO","CN","0.790000","55000.01","75000.00"
"B719","CARAGLIO","CN","0.800000","75000.01","999999999.99"
"B732","CARAVATE","VA","0.200000","0.00","15000.00"
"B732","CARAVATE","VA","0.500000","15000.01","28000.00"
"B732","CARAVATE","VA","0.700000","28000.01","55000.00"
"B732","CARAVATE","VA","0.790000","55000.01","75000.00"
"B732","CARAVATE","VA","0.800000","75000.01","999999999.99"
"B741","CARBONARA AL TICINO","PV","0.450000","0.00","15000.00"
"B741","CARBONARA AL TICINO","PV","0.500000","15000.01","28000.00"
"B741","CARBONARA AL TICINO","PV","0.550000","28000.01","55000.00"
"B741","CARBONARA AL TICINO","PV","0.600000","55000.01","75000.00"
