"esercizio","mese","stato","cd_cds_doc_gen","cd_uo_doc_gen","esercizio_doc_gen","cd_tipo_doc_gen","pg_doc_gen","cd_cds_comp","cd_uo_comp","esercizio_comp","pg_comp","cd_cds_mandato","esercizio_mandato","pg_mandato","dacr","utcr","duva","utuv","pg_ver_rec"
"2018","1","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","2","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","3","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","4","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","5","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","6","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","7","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","8","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","9","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","10","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","11","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","12","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","13","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","14","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","15","I","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
