"esercizio","cd_contributo_ritenuta","ti_ente_percipiente","cd_regione","dacr","utcr","duva","utuv","pg_ver_rec"
"2017","STI380306","P","08","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380307","P","06","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380308","P","12","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380309","P","07","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380310","P","03","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380311","P","11","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380312","P","14","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380313","P","01","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380314","P","16","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380316","P","19","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380317","P","09","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380318","P","04","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380319","P","10","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380320","P","02","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380321","P","05","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","STI380501","P","13","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
