"cd_tipo_attivita","ds_tipo_attivita","livello","cd_tipo_attivita_padre","fl_cancellato","utcr","dacr","utuv","duva","pg_ver_rec"
"108901","Produzione di estratti e succhi di carne","2","10","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"108909","Produzione di altri prodotti alimentari nca","2","10","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"109100","Produzione di mangimi per l'alimentazione degli animali da allevamento","2","10","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"109200","Produzione di prodotti per l'alimentazione degli animali da compagnia","2","10","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110100","Distillazione, rettifica e miscelatura degli alcolici","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110210","Produzione di vini da tavola e v.q.p.r.d.","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110220","Produzione di vino spumante e altri vini speciali","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110300","Produzione di sidro e di altri vini a base di frutta","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110400","Produzione di altre bevande fermentate non distillate","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110500","Produzione di birra","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110600","Produzione di malto","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"110700","Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia","2","11","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"120000","Industria del tabacco","2","12","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"131000","Preparazione e filatura di fibre tessili","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"132000","Tessitura","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"133000","Finissaggio dei tessili, degli articoli di vestiario e attivit? similari","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139100","Fabbricazione di tessuti a maglia","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139210","Confezionamento di biancheria da letto, da tavola e per l'arredamento","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139220","Fabbricazione di articoli in materie tessili nca","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139300","Fabbricazione di tappeti e moquette","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139400","Fabbricazione di spago, corde, funi e reti","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139500","Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139610","Fabbricazione di nastri, etichette e passamanerie di fibre tessili","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139620","Fabbricazione di altri articoli tessili tecnici ed industriali","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139910","Fabbricazione di ricami","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
"139920","Fabbricazione di tulle, pizzi e merletti","2","13","N","SYSTEM","2012-01-02T00:00:00.000","SYSTEM","2012-01-02T00:00:00.000","1"
