"cd_tipo_bollo","ds_tipo_bollo","ti_entrata_spesa","classe_tipo_bollo","im_tipo_bollo","fl_default","fl_cancellato","utcr","dacr","utuv","duva","pg_ver_rec","assoggettamento_bollo"
"ESE14","ESENTE - Spese di condominio degli edifici (art 13 tariffa DPR 642/72 nota 1.3)","S","1","0.00","N","N","TATARELLIR","2005-11-16T13:47:11.000","TATARELLIR","2005-11-16T13:49:05.000","3","ESENTE BOLLO"
"SOENT","Soggetto - Bollo a carico CNR","S","3","0.00","N","N","GREGORI","2003-01-17T09:32:43.000","GREGORI","2003-01-17T09:32:43.000","1","ASSOGGETTATO BOLLO A CARICO ENTE"
"ESENT","ESENTE -  Pagamenti effettuati con accred. in c/c bancario o postale (art. 7 tabella D.P.R. 642/72)","S","1","0.00","Y","N","GREGORI","2003-01-17T09:35:01.000","TATARELLIR","2005-11-16T13:59:56.000","3","ESENTE BOLLO"
"SOPER","Soggetto - a carico del percepiente (compreso nell'importo dell'ordinativo)","S","4","0.00","N","N","GREGORI","2003-01-17T09:37:51.000","GREGORI","2003-01-17T09:37:51.000","1","ASSOGGETTATO BOLLO A CARICO BENEFICIARIO"
"NR","Non rilevante","E","2","0.00","Y","N","GREGORI","2003-01-17T09:39:03.000","GREGORI","2003-01-17T09:39:03.000","1","ESENTE BOLLO"
"ESE1","ESENTE - Non eccedente  ? 77,45","S","1","0.00","N","N","TATARELLI","2003-03-17T08:39:46.000","TATARELLIR","2005-11-16T14:01:17.000","2","ESENTE BOLLO"
"ESE2","ESENTE - Missioni del personale (ART. 26 TAB DPR 642/72","S","1","0.00","N","Y","TATARELLI","2003-03-17T08:40:24.000","TATARELLIR","2005-11-16T14:02:16.000","2","ESENTE BOLLO"
"ESE3","ESENTE - Fatture ed altri documenti assoggettati ad IVA (Art. 6 Tabella D.P.R. 642/72)","S","1","0.00","N","N","TATARELLI","2003-03-17T08:40:51.000","TATARELLIR","2005-11-16T14:11:05.000","3","ESENTE BOLLO"
"ESE4","ESENTE - Fatture estere o relative all'esportazione, documenti doganali (art. 15 Tabella DPR 642/72)","S","1","0.00","N","N","TATARELLI","2003-03-17T08:41:19.000","TATARELLIR","2005-11-16T14:10:53.000","2","ESENTE BOLLO"
"ESE5","ESENTE - Stipendi, indennit? e compenze di lavoro subordinato (Art. 26 Tabella D.P.R. 642/72)","S","1","0.00","N","N","TATARELLI","2003-03-17T08:41:44.000","TATARELLIR","2005-11-16T14:05:06.000","3","ESENTE BOLLO"
"ESE6","ESENTE - Assicurazioni sociali obbligatorie (Art. 9 Tabella D.P.R. 642/72)","S","1","0.00","N","N","TATARELLI","2003-03-17T08:42:18.000","TATARELLIR","2005-11-16T14:12:49.000","2","ESENTE BOLLO"
"ESE7","ESENTE - Borse di studio (Art. 11 Tabella D.P.R. 642/72)","S","1","0.00","N","N","TATARELLI","2003-03-17T08:42:42.000","TATARELLIR","2005-11-16T14:13:54.000","2","ESENTE BOLLO"
"ESE8","ESENTE - INDENNITA' DI LIQUIDAZIONE ART.9 TAB. DPR 642/72","S","1","0.00","N","N","TATARELLI","2003-03-17T08:43:05.000","TATARELLI","2003-03-17T08:43:05.000","1","ESENTE BOLLO"
"ESE9","ESENTE - ASSEGNI ALIMENTARI ART. 19 L. 74/87","S","1","0.00","N","N","TATARELLI","2003-03-17T08:43:28.000","TATARELLI","2003-03-17T08:43:28.000","1","ESENTE BOLLO"
"ESE10","ESENTE - QUOTE ASSOCIATIVE SINDACATI","S","1","0.00","N","N","TATARELLI","2003-03-17T08:43:58.000","TATARELLI","2003-03-17T08:43:58.000","1","ESENTE BOLLO"
"ESE11","ESENTE  - PIGNORAMENTTI PER ASSEGNI ALIMENTARI ART 19 L. 74/1983","S","1","0.00","N","N","TATARELLI","2003-03-17T08:44:22.000","TATARELLI","2003-03-17T08:44:22.000","1","ESENTE BOLLO"
"ESE12","ESENTE - CESSIONI V STIPENDIO ART 15 DPR 601/1973","S","1","0.00","N","N","TATARELLI","2003-03-17T08:44:56.000","TATARELLI","2003-03-17T08:44:56.000","1","ESENTE BOLLO"
"ESE13","ESENTE - ASSICURAZIONI ART 34 DPR 601/1973","S","1","0.00","N","N","TATARELLI","2003-03-17T08:45:35.000","TATARELLI","2003-03-17T08:45:35.000","1","ESENTE BOLLO"
