"cd_tipo_carico_scarico","ds_tipo_carico_scarico","ti_documento","dt_cancellazione","fl_fatturabile","fl_aumento_valore","utuv","duva","utcr","dacr","pg_ver_rec","fl_elabora_buono_coge","fl_buono_per_trasferimento","fl_storno_fondo","fl_chiude_fondo","fl_vendita"
"13","scarico per trasferimento","S","NULL","N","N","001C","2005-05-25T18:42:18.000","001C","2005-05-25T18:42:18.000","1","N","Y","N","N","N"
"15","Scarico per Vendita","S","NULL","Y","N","ced","2006-11-29T00:00:00.000","ced","2006-11-29T00:00:00.000","1","N","N","N","N","Y"
"11","aumento valore visibile da documento amministrativo","C","NULL","Y","Y","001C","2006-03-15T10:06:57.000","RAGSAC","2004-12-16T13:58:12.000","2","N","N","N","N","N"
"14","Scarico per Permuta","S","NULL","Y","N","CROSATI","2006-05-30T11:43:09.000","CROSATI","2006-05-30T11:43:09.000","1","N","N","N","N","N"
"12","carico per trasferimento","C","NULL","N","N","001C","2005-05-25T18:41:58.000","001C","2005-05-25T18:41:58.000","1","N","Y","N","N","N"
"1","Carico visibile da documento amministrativo","C","NULL","Y","N","001C","2006-03-15T10:06:35.000","CAMPANALE","2002-12-09T14:47:44.000","2","N","N","N","N","N"
"2","Scarico visibile da documento amministrativo","S","NULL","Y","N","001C","2006-03-15T10:07:20.000","CAMPANALE","2002-12-09T14:48:12.000","2","N","N","Y","Y","N"
"3","Dismissione","S","NULL","N","N","CAMPANALE","2002-12-09T14:48:58.000","CAMPANALE","2002-12-09T14:48:58.000","1","N","N","Y","N","N"
"4","Omaggio","C","NULL","N","N","013C","2003-02-25T12:02:54.000","013C","2003-02-25T12:02:24.000","3","Y","N","N","N","N"
"5","aumento valore non visibile da documento amministrativo","C","NULL","N","Y","001C","2006-03-15T10:07:55.000","013C","2003-03-21T11:27:19.000","2","Y","N","N","N","N"
"6","carico non visibile da documento amministrativo","C","NULL","N","N","001C","2006-03-15T10:08:23.000","058C","2003-06-10T11:15:06.000","2","Y","N","N","N","N"
"7","scarico per trasferimento ad altra UO","S","2005-05-25T18:43:29.000","N","N","001C","2005-05-25T18:43:29.000","005C","2003-07-18T11:34:39.000","2","N","N","N","N","N"
"8","carico per trasferimento da altra UO","C","2005-05-25T18:43:56.000","N","N","001C","2005-05-25T18:43:56.000","013C","2003-07-30T11:59:35.000","2","N","N","N","N","N"
"9","scarico non visibile da documento amministrativo","S","NULL","N","N","001C","2006-03-15T10:08:50.000","013C","2003-08-05T10:13:27.000","2","N","N","Y","N","N"
"10","aumento valore visibile da fattura","C","2004-12-16T13:58:29.000","N","Y","RAGSAC","2004-12-16T13:58:29.000","RAGSAC","2004-02-03T12:15:15.000","2","N","N","N","N","N"
