"cd_trattamento","cd_ti_compenso","dt_inizio_validita","ds_ti_compenso","fl_registra_fattura","fl_diaria","dt_fine_validita","duva","utcr","dacr","utuv","pg_ver_rec"
"T019C","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T019SC","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T019CSC","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T020","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T020C","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T021","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T021C","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T021CSC","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T021SC","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T025","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
"T025C","A","2003-01-01T00:00:00.000","Prestazioni di lavoro autonomo rientranti nell'esercizio di arte o professione abituale","N","N","2050-12-31T00:00:00.000","2004-02-23T00:00:00.000","CINSAN","2004-02-23T00:00:00.000","CINSAN","1"
