"cd_tipo_contratto","ds_tipo_contratto","natura_contabile","fl_cancellato","dacr","utcr","duva","utuv","pg_ver_rec","fl_cig","fl_pubblica_contratto"
"UTENZ","Contratti di fornitura periodica o continuativa (utenze)","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"TRASF","Trasformazione/Cessione/Fusione/Scissione/Affitto di azienda (o ramo di azienda)","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"INTP","Contratti per lo svolgimento di Programmi di Ricerca Intergovernativi (es. PNRA)","P","N","2014-06-12T00:00:00.000","CED_SF","2014-06-12T00:00:00.000","CED_SF","1","N","N"
"INTA","Contratti per lo svolgimento di Programmi di Ricerca Intergovernativi (es. PNRA)","A","N","2014-06-12T00:00:00.000","CED_SF","2014-06-12T00:00:00.000","CED_SF","1","N","N"
"AL","Appalto di lavori (anche in caso di subappalto)","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"RICS","Contratto per servizi di ricerca e sviluppo esclusi parzialmente dall’applicazione del codice dei contratti ","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"OP163","Contratto d’opera professionale conferito ai sensi del D. Lgs. 163/2006","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"CSP","Convenzione tra soggetti pubblici","N","N","2012-12-19T00:00:00.000","CEDRC","2018-01-03T19:19:30.000","ISS","2","Y","Y"
"RICA","Contratto per servizi di ricerca e sviluppo esclusi parzialmente dall’applicazione del codice dei contratti ","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"COMO","Contratto di comodato","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"SPO","Contratto di sponsorizzazione","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"SPO_A","Contratto di sponsorizzazione","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"CONS","Concessione di servizi","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"CONL","Concessione di Lavori","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"ALTR","Altri contratti esclusi in tutto o in parte dall’ambito di applicazione del codice","P","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","Y","N"
"ALTRA","Altri contratti esclusi in tutto o in parte dall’ambito di applicazione del codice","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"PON","Programma Operativo Nazionale
","A","N","2012-12-19T00:00:00.000","cedrc","2012-12-19T00:00:00.000","cedrc","1","N","N"
"CSPP","Convenzione tra soggetti pubblici","P","N","2012-12-19T00:00:00.000","CEDRC","2012-12-19T00:00:00.000","CEDRC","1","N","N"
"CSPA","Convenzione tra soggetti pubblici","A","N","2012-12-19T00:00:00.000","CEDRC","2012-12-19T00:00:00.000","CEDRC","1","N","N"
"CSPE","Convenzione tra soggetti pubblici","E","N","2012-12-19T00:00:00.000","CEDRC","2012-12-19T00:00:00.000","CEDRC","1","N","N"
"QUOTE","Quote associative del CNR ad enti/associazioni per la ricerca","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"DOGAN","Oneri e servizi doganali, dazi, IVA e altri oneri imposti per legge","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"COND","Oneri accessori alla proprietà di immobili (spese condominiali)","P","N","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
"TRA_A","Trasferimento e contributi all'attività di ricerca","A","N","2005-06-15T11:37:16.000","TATARELLIR","2005-06-15T11:37:16.000","TATARELLIR","1","N","N"
"INT","Partecipazione ad organismi scientifici internazionali","P","Y","2005-06-15T12:28:40.000","TATARELLIR","2005-06-15T12:28:40.000","TATARELLIR","1","N","N"
"LP","Appalto di lavori pubblici","P","Y","2005-05-19T00:00:00.000","CED_SF","2005-05-19T00:00:00.000","CED_SF","1","N","N"
