"esercizio","cd_contributo_ritenuta","cd_gruppo_cr","dacr","utcr","duva","utuv","pg_ver_rec"
"2017","F24EPIVA","IVAF24EP","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24INAIL","INAILF24","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","1049","1049","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRAPSAL","F24IRAPSAL","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRAP1","F24IRAP1","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRAP2","F24IRAP2","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRESSAL","F24IRESSAL","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRES1","F24IRES1","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24IRES2","F24IRES2","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","RECIRAP","IRAP","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","F24EPIMU","F24EPIMU","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","IRAP","IRAP","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","IRPEFSTRA","1040","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","RAIRPEF","1040","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","IVA","IVA","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","IRAPCOM","IRAPCOM","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2017","RECRITE","RECRITE","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","2017-01-02T10:09:59.000","$$$$RIBALTAMENTO$$$$","1"
"2018","1049","1049","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24EPIMU","F24EPIMU","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24EPIVA","IVAF24EP","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
"2018","F24INAIL","INAILF24","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","2018-01-08T14:48:52.000","$$$$RIBALTAMENTO$$$$","1"
