"cd_tipo_documento_cont","ds_tipo_documento_cont","utcr","dacr","utuv","duva","pg_ver_rec"
"OBB_RESIM","Obbligazione Residua Impropria. Utilizzato solo dal CDS","SYSTEM","2006-01-16T12:41:25.000","SYSTEM","2006-01-16T12:41:25.000","1"
"OBB_RESIM$","TEMP Obbligazione Residua Impropria. Utilizzato solo dal CDS","SYSTEM","2006-02-13T00:00:00.000","SYSTEM","2006-02-13T00:00:00.000","1"
"OBB_RES","Obbligazione Residua. Utilizzato solo dal CDS","SYSTEM","2006-01-16T12:41:24.000","SYSTEM","2006-01-16T12:41:24.000","1"
"ACR_PGIR_R","Accertamento su partite di giro Residue. Utilizzato solo dal CDS per partite di giro","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"OBB_PGIR_R","Annotazione sul registro partite di giro Residue parte spese. Utilizzato solo dal CDS","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_MOD","Modifica Accertamento. Utilizzato solo dal CDS","SYSTEM","2006-11-30T00:00:00.000","SYSTEM","2006-11-30T00:00:00.000","1"
"ACR_MOD$","TEMP Modifica Accertamento. Utilizzato solo dal CDS","SYSTEM","2006-11-30T00:00:00.000","SYSTEM","2006-11-30T00:00:00.000","1"
"OBB","Obbligazione. Utilizzato solo dal CDS","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"OBB_PGIRO","Annotazione sul registro partite di giro parte spese. Utilizzato solo dal CDS","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"IMP","Impegno. Utilizzato solo dal C.N.R.","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"MAN","Mandato","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_RES","Accertamento residuo. Utilizzato solo dal C.N.R. Anche su partite di giro","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_PGIRO","Accertamento su partite di giro. Utilizzato solo dal CDS per partite di giro","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"REV","Reversale","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"IMP_RES","Impegno residuo. Utilizzato solo dal C.N.R.","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_SIST","Accertamento di sistema CDS","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"REV_PROVV","Reversale provvisoria","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR","Accertamento. Utilizzato solo dal C.N.R. anche su partite di giro","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"OBB$","Obbligazione. Utilizzato solo dal CDS","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR$","TEMP Accertamento. Utilizzato solo dal C.N.R. anche su partite di giro","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"OBB_PGIRO$","TEMP Annotazione sul registro partite di giro parte spese. Utilizzato solo dal CDS","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"IMP$","TEMP Impegno. Utilizzato solo dal C.N.R.","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"MAN$","TEMP Mandato","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_RES$","TEMP Accertamento residuo. Utilizzato solo dal C.N.R. Anche su partite di giro","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_PGIRO$","TEMP Accertamento su partite di giro. Utilizzato solo dal CDS per partite di giro","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"REV$","TEMP Reversale","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_SIST$","TEMP Accertamento di sistema CDS","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"REV_PROVV$","TEMP Reversale provvisoria","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"IMP_RES$","TEMP Impegno residuo. Utilizzato solo dal C.N.R.","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","$$$$$MIGRAZIONE$$$$$","2001-11-26T00:00:00.000","1"
"ACR_PLUR","Accertamento pluriennale. Utilizzato solo dal C.N.R.","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:02:59.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:02:59.000","1"
"ACR_PLUR$","TEMP Accertamento pluriennale. Utilizzato solo dal C.N.R.","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:02:59.000","$$$$$MIGRAZIONE$$$$$","2002-05-28T17:02:59.000","1"
"OBB_MOD","Modifica Obbligazione. Utilizzato solo dal CDS","SYSTEM","2006-09-07T00:00:00.000","SYSTEM","2006-09-07T00:00:00.000","1"
"OBB_MOD$","TEMP Modifica Obbligazione. Utilizzato solo dal CDS","SYSTEM","2006-09-07T00:00:00.000","SYSTEM","2006-09-07T00:00:00.000","1"
