"cd_tipo_file","ds_tipo_file","estensione_file","utcr","dacr","utuv","duva","pg_ver_rec"
"00001","Batch Processing","bat","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00002","Immagine JPEG con estensione jpg","jpg","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00003","File compresso tramite WinRar","rar","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00004","Microsoft Word 2007","docx","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00005","Microsoft Word","doc","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00006","Immagine TIFF con estensione tiff","tiff","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00007","File di testo","txt","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00008","Immagine BITMAP","bmp","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00009","Microsoft Excel 2007","xlsx","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00010","Microsoft Excel","xls","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00011","Microsoft PowerPoint","ppt","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00012","Microsoft PowerPoint 2007","pptx","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00013","Acrobat Reader","pdf","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00014","Rich Text Format","rtf","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00015","Immagine TIFF con estensione tif","tif","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00016","Immagine JPEG con estensione jpeg","jpeg","S.I.","2008-02-07T00:00:00.000","S.I.","2008-02-07T00:00:00.000","1"
"00017","File firmato","p7m","S.I.","2016-03-11T00:00:00.000","S.I.","2016-03-11T00:00:00.000","1"
