"cd_tipo_missione","ds_tipo_missione","dacr","utcr","duva","utuv","pg_ver_rec","fl_valido"
"01","Attivit? istituzionale","2013-05-15T00:00:00.000","cedrc","2013-05-22T14:27:50.000","ANGELINI","2","Y"
"02","Ativit? formativa","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"03","Partecipazione a commissioni di concorso ","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"04","Partecipazione a riunioni ed attivit? di organismi internazionali","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"05","Attivit? ispettive, di verifica e di controllo","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"06","Attivit? relative ad accordi internazionali","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"07","Progetti bandiera","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"08","Progetti di potenziamento delle strutture del Mezzogiorno (c.d. 'Tremonti per il Sud')","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"09","Progetti di interesse strategico finanziati con il FOE","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"10","Progetti di carattere straordinario finanziati con il FOE","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"11","Progetti ricompresi nella \"Road Map ESFRI\"","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"12","Programma Nazionale di Ricerche in Antartide","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"13","Progetti FIRB","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"14","Progetti PRIN","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"15","Progetti FAR","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"16","Progetti premiali","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"17","Progetti 'Industria 2015'","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"18","Progetto 'Polarnet'","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"19","Progetti rientranti nel Nuovo accordo quadro CNR-Regione Lombardia","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"20","Nuova intesa di programma MIUR CNR","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"21","Progetti PON","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"22","Progetti POR","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"23","Progetti FESR","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"24","Programmi Quadro dell'Unione Europea","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"25","Progetti finanziati da soggetti privati nazionali","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"26","Altri progetti finanziati dal MIUR","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"27","Altri progetti finanziati da altri ministeri","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"28","Altri progetti finanziati dall'Unione Europea","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"29","Progetti finanziati da altri organismi internazionali o da altri soggetti privati stranieri","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"30","Progetti finanziati da enti locali territoriali(Reg/prov/comuni/comu. montane/citt? metropolitane)","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
"31","Progetti finanziati da altri enti pubblici (EPR, universit?, agenzie, autorit?, IRCCS, ASL, ecc.)","2013-05-15T00:00:00.000","cedrc","2013-05-15T00:00:00.000","cedrc","1","Y"
