"cd_cds","cd_tipo_movimento","ds_tipo_movimento","tipo","segno","cd_cds_storno","cd_tipo_movimento_storno","cd_cds_alt","cd_tipo_movimento_alt","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"000","10S","TRASF.DA MAGAZZINO A MAGAZZINO","ST","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","10C","TRASF.DA MAGAZZINO A MAGAZZINO","CT","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","11","CARICO DA FORNITORE A MAGAZZIN","CM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","12","RESO DA REPARTO A MAGAZZINO","CM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","14","RETTIFICA IN MENO BUONO PRELIE","CM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","15S","RETTIFICA IN + TRASF. DA MAGAZ","ST","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","15C","RETTIFICA IN + TRASF. DA MAGAZ","CT","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","16S","RETTIFICA IN - TRASF. DA MAGAZ","ST","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","16C","RETTIFICA IN - TRASF. DA MAGAZ","CT","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","18","RETTIFICA INVENTARIO IN PIU","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","19","DA FORNITORE A MAGAZZINO(OMAGG","CM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","51","RESO DA MAGAZZINO A FORNITORE","SM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","52","BUONO DI PRELIEVO","SM","+","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","53","ADDEBITO MANUTENZIONE ESTERNE","SM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","54","RETTIFICA IN + BUONI DI PRELIE","SM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","58","RETTIFICA INVENTARIO IN -","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","62","DA MAGAZZINO A REPARTO","SM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","70","PRODUZIONE INTERNA DA REPARTO","CM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","94","DA MAGAZZINO A FUORI USO","SM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","95","DA FUORI USO A MAGAZZINO","CM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","96","RETTIFICA CARICHI DI MAGAZZINO","CM","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1998-12-12T00:00:00.000","MASTER","1"
"000","C04","STORNO SCARICO DA TRASFER.AUT","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1997-12-31T00:00:00.000","ORDINI","1"
"000","C07","STORNO CARICO FUORI MAGAZZINO","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1997-12-31T00:00:00.000","ORDINI","1"
"000","C08","STORNO SCARICO IN TRANSITO","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1997-12-31T00:00:00.000","ORDINI","1"
"000","C10","STORNO SCARICO PROD. INTERNA","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1997-12-31T00:00:00.000","ORDINI","1"
"000","C13","STORNO SCARICO FUORI USO","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1999-01-15T15:14:46.000","SCI","1"
"000","C17","RETTIFICA INVENTARIO +","SR","NULL","000","X17","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","2000-01-05T19:00:08.000","SCI","1"
"000","C18","STORNO SCARICO DA PENNA OTT.","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1997-12-31T00:00:00.000","ORDINI","1"
"000","C21","STORNO SCARICO A QTA MANUALE","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1997-12-31T00:00:00.000","ORDINI","1"
"000","C23","STORNO RESO A FORNITORE","SR","NULL","NULL","NULL","NULL","NULL","NULL","2017-04-26T13:22:05.000","MIGRAZIONE","1997-12-31T00:00:00.000","ORDINI","1"
