"cd_cds","cd_tipo_movimento","agg_data_ultimo_consumo","agg_tipmov_ultimo_consumo","agg_data_ultimo_carico","agg_tipmov_ultimo_carico","agg_ultimo_fornitore","mod_agg_progr_val_carichi","agg_data_ultimo_carico_val","mod_agg_qta_val_magazzino","mod_agg_progr_qta_carichi","agg_data_ultimo_carico_qta","mod_agg_progr_val_scarichi","mod_agg_progr_qta_scarichi","mod_agg_progr_consumi","agg_data_ultimo_scarico_val","agg_data_ultimo_scarico_qta","mod_agg_qta_inizio_anno","mod_agg_valore_inizio_anno","mod_agg_tempo_medio_approv","mod_agg_scorta_min","mod_agg_qta_ordine","mod_agg_qta_magazzino","riporta_lotto_fornitore","qta_iniziale_lotto","valore_iniziale_lotto","riporto_data_carico_lotto","cd_cds_rif","cd_tipo_movimento_rif","flag_spese","qta_carico_lotto","mod_agg_valore_lotto","fl_movimenta_lotti_bloccati","mod_agg_qta_prop_sca","genera_bolla_scarico","valido","valorizzazione_costo_effettivo","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"000","S32","S","S","N","N","N","N","N","-","N","N","+","+","+","N","N","N","N","N","R","N","-","N","N","N","S","000","NULL","N","N","N","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","S33","S","S","N","N","N","N","N","-","N","N","+","+","+","N","N","N","N","N","R","N","-","N","N","N","S","000","NULL","N","N","N","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","S11","S","S","N","N","N","N","N","-","N","N","+","+","+","S","S","N","N","N","R","N","-","N","N","N","N","000","NULL","N","N","N","N","N","A","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","S12","S","S","N","N","N","N","N","-","N","N","+","+","N","S","S","N","N","N","R","N","-","N","N","N","N","000","NULL","N","N","N","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","S13","S","S","N","N","N","-","N","D","-","N","N","N","N","S","S","N","N","N","R","N","-","N","N","N","N","000","NULL","N","N","N","N","N","N","S","S","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","S15","N","N","N","N","N","N","N","-","N","N","+","+","N","N","N","N","N","N","R","N","-","N","N","N","N","000","NULL","N","N","N","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","S16","S","S","N","N","N","N","N","-","N","N","+","+","+","S","S","N","N","N","R","N","-","N","N","N","N","000","NULL","N","N","N","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","S17","S","S","N","N","N","N","N","D","N","N","+","+","N","S","S","N","N","N","R","N","-","N","N","N","N","000","NULL","N","N","N","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","X01","N","N","N","N","N","-","N","D","-","N","N","N","N","N","N","N","N","R","R","+","-","N","N","-","N","000","NULL","N","-","-","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
"000","X05","N","N","N","N","N","-","N","D","-","N","N","N","N","N","N","N","N","R","R","+","-","N","N","-","N","000","NULL","N","-","-","N","N","N","S","N","NULL","2018-01-10T00:00:00.000","MIGRAZIONE","2018-01-10T00:00:00.000","MIGRAZIONE","1"
