"cd_tipo_norma","ds_tipo_norma","cd_tipo_norma_perla","numero_tipo_norma","dt_tipo_norma","articolo_tipo_norma","comma_tipo_norma","utcr","dacr","utuv","duva","pg_ver_rec","tipo_associazione"
"67","art.7 comma 6 L.165/2001","65","165","2011-01-01T00:00:00.000","1","3","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","INC"
"19B","art. 19, comma 1, lett. b dello Statuto del CNR","S"," ","2011-04-19T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"19","art. 19 dello Statuto del CNR","S"," ","2011-04-19T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"118","art. 118 D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"116","art. 116 D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"380","D.P.R. n. 380 del 6/6/2001 e s.m.i.","DPR"," ","2001-06-06T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"15","art. 15 L. 241/1990","L"," ","1990-08-07T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"633","D.P.R. 633/1972","DPR"," ","1972-10-26T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"14","Art. 14, comma 2, Disc. conferimento incarichi","18","64","2007-11-14T00:00:00.000","14","2","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","INC"
"999","IMPUTAZIONE LIBERA","p1","1","2011-01-01T00:00:00.000","1","3","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","INC"
"163","D. Lgs. n. 163/2006  ","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"42D","art. 142 e seguenti D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"30D","art. 30 D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"59D","art. 59 D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"26D","art. 26 D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"19D","art. 19, comma 1, lett. f  D. Lgs. n. 163/2006 ","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"5","art. 5 L. 381/1991","L"," ","1991-11-08T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"117","art. 1117 e ss. codice civile (spese condominiali)","DL"," ","1942-03-16T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"22","art. 22 L. 240/2010","65","240","2010-12-30T00:00:00.000","22"," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","INC"
"33D","art. 33 D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"COS","COST Grant Agreement","L"," ","2013-01-01T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"92D","art. 92 D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"71","art. 1571 e seguenti codice civile","DL"," ","1942-03-16T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"03","art. 1803 e seguenti codice civile","DL"," ","1942-03-16T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"TII","Titolo II della Parte I del D. Lgs. n. 163/2006","DL"," ","2006-04-12T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
"COM","Contratti di compravendita di immobili","L"," ","2014-01-01T00:00:00.000"," "," ","p","2012-01-01T00:00:00.000","p","2012-01-01T00:00:00.000","1","CTR"
