"cd_tipo_operazione","ds_tipo_operazione","dt_cancellazione","dacr","utcr","duva","utuv","pg_ver_rec"
"RIC","RICHIESTE","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"PRO","PROPOSTE","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"ORD","ORDINI","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"RIS","RISCONTRO MERCE","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"LOT","LOTTI DI CARICO","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"BOL","BOLLE DI SCARICO","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"MAG","MAGAZZINO","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"DDT","DOCUMENTI DI TRASPORTO","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"PRS","PROPOSTE DI SCARICO","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"VR1","VALIDAZIONE RICHIESTE LIV. 1","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"VO1","VALIDAZIONE ORDINI","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T00:00:00.000","SYSTEM","1"
"RSC","RISCONTRO RICHIESTE","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T16:52:14.000","ORDINI","1"
"PRI","PRODUZIONE INTERNA","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2001-08-27T16:52:52.000","MAGAZZINO","1"
"VR2","VALIDAZIONE RICHIESTE LIV. 2","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2002-10-21T17:57:26.000","SYSTEM","1"
"BLC","BOLLA DI CARICO","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2002-10-21T00:00:00.000","ISS","1"
"ORC","ORDINI DA CLIENTE","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2003-05-16T00:00:00.000","ISS","1"
"RSO","RISCONTRO ORDINI DA CLIENTE","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2003-05-16T00:00:00.000","ISS","1"
"RNC","Richieste Note di Credito","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2003-05-16T11:44:06.000","SYSTEM","1"
"RND","Richieste Note di Credito","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2003-05-16T11:44:06.000","SYSTEM","1"
"RCT","RISCONTRO CONTO TERZI","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2004-01-12T17:38:42.000","ISS","1"
"SCT","SCARICO CONTO TERZI","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2004-01-12T17:38:42.000","ISS","1"
"RSV","RISCONTRO A VALORE","NULL","2017-04-20T16:59:57.000","MIGRAZIONE","2004-01-16T16:35:43.000","ISS","1"
"VO2","FIRMA ORDINI","NULL","2011-08-10T14:14:08.000","SYSTEM","2011-08-10T14:14:08.000","SYSTEM","1"
