"cd_ti_prestazione","ds_ti_prestazione","fl_incarico","fl_contratto","fl_controllo_fondi","utcr","dacr","utuv","duva","pg_ver_rec"
"BORSF","Borsa di Formazione","Y","N","N","CED","2013-02-08T00:00:00.000","CED","2013-02-08T00:00:00.000","1"
"STAGE","Stage","Y","N","N","CED","2013-02-08T00:00:00.000","CED","2013-02-08T00:00:00.000","1"
"TIR","Tirocinio","Y","N","N","CED","2013-02-08T00:00:00.000","CED","2013-02-08T00:00:00.000","1"
"PSERV","Prestazione di Servizi","N","Y","N","CED","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","1"
"INC","Incarico di collaborazione","Y","N","Y","CED","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","1"
"FUNZ","Funzionario Onorario (riservato sede)","N","N","N","CED","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","1"
"GETT","Gettoni per commissioni concorsi/gare/organismi","N","N","N","CED","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","1"
"BORS","Borsa di Studio","Y","N","N","CED","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","1"
"ASSE","Assegno di ricerca","Y","N","N","CED","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","1"
"PCONT","Pagamenti da contenzioso (CTU, Avvocato controparte, ecc.)","N","N","N","CED","2012-11-27T00:00:00.000","CED","2012-11-27T00:00:00.000","1"
