"cd_tipo_rapporto","ds_tipo_rapporto","ti_dipendente_altro","ti_rapporto_altro","dacr","utcr","duva","utuv","pg_ver_rec","fl_inquadramento","fl_bonus","cd_trattamento","fl_visibile_a_tutti"
"NFFA","Trans-National Access","A","NULL","2016-11-11T13:22:17.000","CED_RP","2016-11-11T13:22:25.000","CED_RP","1","Y","N","NULL","N"
"DIP","DIPENDENTE","D","NULL","2002-02-12T15:31:17.000","GARZENINI","2002-02-12T15:31:17.000","GARZENINI","1","Y","Y","T160","Y"
"PROF","Professionista","A","NULL","2002-03-07T18:10:49.000","TATARELLI","2002-03-07T18:10:49.000","TATARELLI","1","N","N","NULL","Y"
"ASS","Assimilato a lavoratore dipendente","A","NULL","2002-03-07T18:09:26.000","TATARELLI","2002-03-07T18:09:26.000","TATARELLI","1","Y","N","NULL","Y"
"STAG","Stagionale","A","NULL","2002-02-25T16:13:58.000","GARZENINI","2002-03-07T18:11:11.000","TATARELLI","3","Y","N","NULL","Y"
"BORS","Borsista","A","B","2002-03-07T18:09:40.000","TATARELLI","2002-03-07T18:09:40.000","TATARELLI","1","Y","N","NULL","Y"
"COLL","Collaboratore coordinato e continuativo","A","NULL","2002-03-07T18:10:02.000","TATARELLI","2002-03-07T18:10:02.000","TATARELLI","1","Y","Y","T161","Y"
"STI","Interfaccia stipendi","D","NULL","2003-01-20T00:00:00.000","$$$$$CINECA$$$$$","2003-01-20T00:00:00.000","$$$$$CINECA$$$$$","1","Y","N","NULL","Y"
"EREDEDIP","Eredi di un dipendente","A","NULL","2003-02-13T00:00:00.000","$$$$$CINECA$$$$$","2003-02-13T00:00:00.000","$$$$$CINECA$$$$$","1","N","N","NULL","Y"
"EXDIP","Ex dipendente","A","NULL","2003-02-25T00:00:00.000","$$$$$CINECA$$$$$","2003-02-25T00:00:00.000","$$$$$CINECA$$$$$","1","N","N","NULL","Y"
"DIPBORS","DIPENDENTE BORSISTA","D","NULL","2003-03-12T00:00:00.000","$$$$$CINECA$$$$$","2003-03-12T00:00:00.000","$$$$$CINECA$$$$$","1","Y","N","NULL","Y"
"OCCA","Lavoratori autonomi occasionali","A","NULL","2004-10-01T10:44:29.000","CROSATI","2004-12-02T18:19:53.000","CROSATI","2","N","N","NULL","Y"
"VERSAMENTO","Blocco dei terzi usati nel versamenti","D","NULL","2003-05-12T00:00:00.000","$$$$$CINECA$$$$$","2003-05-12T00:00:00.000","$$$$$CINECA$$$$$","1","Y","N","NULL","Y"
"EREDIASDIP","Eredi di assimilati a lavoro dipendente","A","NULL","2003-10-02T00:00:00.000","$$$$$CINECA$$$$$","2003-10-02T00:00:00.000","$$$$$CINECA$$$$$","1","N","N","NULL","Y"
"ERDICOCOCO","Eredi di collaboratori coordinati e continuativi","A","NULL","2003-10-02T00:00:00.000","$$$$$CINECA$$$$$","2003-10-02T00:00:00.000","$$$$$CINECA$$$$$","1","N","N","NULL","Y"
"REC770","Recupero per crediti da 770","A","NULL","2003-11-11T00:00:00.000","$$$$$CINECA$$$$$","2003-11-11T00:00:00.000","$$$$$CINECA$$$$$","1","N","N","NULL","Y"
"RECRITE","Recupero versamenti anno precedente, gestione IVA con F24EP e recupero acconto IVA","A","NULL","2004-01-13T00:00:00.000","$$$$$CINECA$$$$$","2004-01-13T00:00:00.000","$$$$$CINECA$$$$$","1","N","N","NULL","Y"
"COMDIP","Dipendente comandato","A","NULL","2013-08-01T18:10:49.000","CED","2013-08-01T18:10:49.000","CED","1","N","N","NULL","Y"
