"cd_tipo_risultato","ds_tipo_risultato","dacr","utcr","duva","utuv","pg_ver_rec"
"02","Prototipi","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","2"
"03","Programmi software","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","3"
"01","Pubblicazioni scientifiche","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","1"
"04","Studi di fattibilita","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","4"
"05","Progetti esecutivi","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","5"
"06","Stazioni di misura","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","6"
"07","Strumentazione","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","7"
"08","Banche dati","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","8"
"09","Metodologie","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","9"
"10","Cataloghi/Inventari/Repertori","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","10"
"11","Protocolli","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","11"
"12","Brevetti","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","12"
"13","Materiale didattico","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","13"
"14","Procedure di prova e analisi","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","14"
"15","Atlanti/Carte/Mappe","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","15"
"16","Nuovi materiali","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","16"
"17","Normativa tecnica","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","17"
"18","Processi","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","18"
"19","Altro","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","19"
"20","Convegni/Congressi/Seminari","2002-03-07T00:00:00.000","TATARELLI","2002-03-07T00:00:00.000","TATARELLI","20"
