"tipo","ds_tipo","dacr","duva","utcr","utuv","pg_ver_rec"
"VTUTTO","Abilitato a TUTTO per Visualizzazione DG","2014-05-07T16:14:32.000","2014-05-07T16:14:32.000","CNRTUTTO","CNRTUTTO","1"
"000000","NULL","2016-10-10T13:45:14.000","2016-10-10T13:45:22.000","AMM090A","AMM090A","2"
"FIRMAE","Abilitato a Firma Elettronica","2014-09-26T10:51:04.000","2014-09-26T10:51:04.000","CED_RP","CED_RP","1"
"MISDIA","Abilitato ad autorizzare diaria per miss estere","2014-10-15T00:00:00.000","2014-10-15T00:00:00.000","CED","CED","1"
"ISTSIO","Gestione Istat Siope","2007-05-16T15:43:28.000","2007-05-16T15:43:28.000","MANAGER","MANAGER","1"
"DIRIST","Direttore di Istituto","2006-01-16T12:44:36.000","2013-10-23T14:32:46.000","MANAGER","AMM041A","5"
"AMMINV","Amministratore Inventario","2006-01-16T12:44:36.000","2006-01-16T12:44:36.000","MANAGER","MANAGER","1"
"CAPCOM","Capo Commessa","2006-01-16T12:44:36.000","2006-01-16T12:44:36.000","MANAGER","MANAGER","1"
"F24EP","Abilitato F24","2008-02-01T14:44:48.000","2008-02-01T14:44:48.000","CED_RP","CED_RP","1"
"ECF","Abilitato a Elenco C/F","2007-10-09T17:24:47.000","2007-10-09T17:24:47.000","MANAGER","MANAGER","1"
"N","N","2007-05-29T00:00:00.000","2007-05-29T00:00:00.000","MANAGER","MANAGER","1"
"SUPER","Accesso a tutti i CDS","2007-09-27T09:28:14.000","2008-03-18T11:47:19.000","pg","CNRTUTTO","2"
"INVUFF","Inventario Ufficiale","2006-10-06T14:22:56.000","2008-12-17T16:23:06.000","MANAGER","CNRTUTTO","3"
"TRATT","Abilitato a vedere tutti i trattamenti","2011-04-29T00:00:00.000","2011-04-29T00:00:00.000","CED","CED","1"
"TUTTO","Abilitato a TUTTO per BRANCASI","2008-05-21T12:41:17.000","2008-05-21T12:41:24.000","CDSBIL","CDSBIL","2"
"FISCOR","Supervisore + F24","2008-06-30T12:07:29.000","2008-06-30T12:07:29.000","CNRTUTTO","CNRTUTTO","1"
"BANCAM","Gestione banca","2008-05-06T00:00:00.000","2008-05-06T00:00:00.000","FG","FG","1"
"SOSP","Abilitato Sospensione Cori","2008-02-01T14:44:48.000","2009-05-06T14:44:48.000","CED","CED","1"
"SUPINC","Abilitazione a tutte le funzioni degli incarichi","2009-12-16T14:44:48.000","2012-04-23T10:15:34.000","CED","CNRTUTTO","4"
"DIRIS2","Direttore di Istituto+ISTSIO","2015-02-20T10:48:22.000","2015-02-20T10:48:26.000","CED_RP","CED_RP","1"
