"cd_tipo_sezionale","ds_tipo_sezionale","ti_acquisti_vendite","ti_istituz_commerc","cd_attivita_commerciale","fl_ordinario","fl_san_marino_con_iva","fl_san_marino_senza_iva","fl_intra_ue","fl_extra_ue","fl_autofattura","utcr","dacr","utuv","duva","pg_ver_rec","sezionale_ven_liquidazione","ti_bene_servizio","fl_servizi_non_residenti","ordina","fl_split_payment"
"a/ispp","REGISTRO ACQUISTI ISTITUZIONALE SPLIT PAYMENT","A","I","NULL","N","N","N","N","N","N","CED","2017-07-26T00:00:00.000","CED","2017-07-26T00:00:00.000","1","NULL","*","N","6","Y"
"v/cspp","REGISTRO IVA VENDITE PER ACQUISTI SPLIT PAYMENT","V","C","1","N","N","N","N","N","N","CED","2017-07-26T00:00:00.000","CED","2017-07-26T00:00:00.000","1","NULL","*","N","6","Y"
"a/isnr","REGISTRO ACQUISTI SERVIZI NON RESIDENTI","A","I","NULL","N","N","Y","Y","Y","N","RPUCCIARELLI","2010-04-14T17:11:52.000","RPUCCIARELLI","2010-04-14T17:11:52.000","1","NULL","S","Y","1","N"
"a/com","REGISTRO IVA  ORDINARIO ACQUISTI","A","C","1","Y","Y","Y","Y","Y","N","RAGSAC","2003-01-14T10:04:45.000","RAGSAC","2003-01-15T13:58:43.000","2","v/com","*","N","4","N"
"v/cue","REGISTRO IVA VENDITE PER ACQUISTI UE","V","C","1","N","N","N","Y","N","Y","RAGSAC","2003-01-14T10:07:46.000","RAGSAC","2003-01-15T14:00:01.000","2","NULL","B","N","2","N"
"v/caut","REGISTRO IVA VENDITE DELLE AUTOFATTURE","V","C","1","N","N","Y","Y","Y","Y","RAGSAC","2003-01-14T10:09:17.000","cindar","2003-06-26T00:00:00.000","2","NULL","*","N","3","N"
"v/rsms","REGISTRO VENDITE  PER ACQUISTI RSM SENZA IVA","V","C","1","N","N","Y","N","N","Y","RAGSAC","2003-01-14T10:11:10.000","RAGSAC","2003-01-15T14:03:28.000","2","NULL","B","N","1","N"
"a/irsm","REGISTRO ACQUISTI ISTITUZIONALE R.S.M. SENZA IVA","A","I","NULL","N","N","Y","N","N","N","RAGSAC","2003-01-14T10:12:27.000","RAGSAC","2003-01-14T10:12:27.000","1","NULL","B","N","2","N"
"a/iue","REGISTRO ACQUISTI BENI ISTITUZIONALE NON RESIDENTI","A","I","NULL","N","N","N","Y","Y","N","RAGSAC","2003-01-14T10:13:36.000","CED_RP","2011-08-03T13:18:07.000","2","NULL","B","N","3","N"
"a/ist","ACQUISTI ISTITUZIONALE","A","I","NULL","Y","Y","Y","Y","Y","N","RAGSAC","2003-01-14T10:15:31.000","RAGSAC","2003-01-15T14:05:27.000","2","NULL","*","N","5","N"
"v/com","REGISTRO IVA ORDINARIO FATTURE EMESSE","V","C","1","Y","Y","N","Y","Y","N","RAGSAC","2003-01-02T00:00:00.000","PCINSD000","2003-01-17T10:11:54.000","3","NULL","*","N","4","N"
