"esercizio","cd_tipo_variazione","ds_tipo_variazione","ti_tipo_variazione","fl_utilizzabile_ente","fl_utilizzabile_area","fl_utilizzabile_cds","ti_approvazione","dacr","utcr","duva","utuv","pg_ver_rec","fl_visto_dip_saldo_modulo","fl_visto_dip_classificazione"
"2017","NO_TIPO","Tipologia non definita","NO_TIPO","N","N","N","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","N"
"2017","PREL_FON","Prelievo dai Fondi (non a quadratura)","PREL_FON","Y","N","N","E","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","N"
"2017","REST_FON","Restituzione ai Fondi (non a quadratura)","REST_FON","Y","N","N","E","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","N"
"2017","STO_E_AREA","Storno di Entrata all'interno dello stesso Istituto","STO_E_CDS","N","Y","N","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","N"
"2017","STO_E_CDS","Storno di Entrata all'interno dello stesso Istituto/SAC/Area","STO_E_CDS","Y","N","Y","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","N"
"2017","STO_E_TOT","Storno di Entrata tra diversi Istituti/SAC","STO_E_TOT","Y","Y","Y","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","N"
"2017","STO_S_AREA","Storno di Spesa all'interno dello stesso Istituto","STO_S_CDS","N","Y","N","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","Y","N"
"2017","STO_S_CDS","Storno di Spesa all''interno dello stesso Istituto/SAC/Area","STO_S_CDS","Y","N","Y","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","Y","N"
"2017","STO_S_TOT","Storno di Spesa tra diversi Istituti/SAC","STO_S_TOT","Y","Y","Y","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","Y","N"
"2017","VAR_MENO_CDS","Variazione per minori Entrate/Spese all'interno dello stesso Istituto(Area)/SAC","VAR_MENO_CDS","Y","Y","Y","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","Y"
"2017","VAR_MENO_FON","Decremento Fondi","VAR_MENO_FON","N","N","N","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","N"
"2017","VAR_MENO_TOT","Variazione per minori Entrate/Spese tra diversi Istituti/SAC","VAR_MENO_TOT","Y","Y","Y","C","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","2016-10-13T21:05:25.000","$$$$RIBALTAMENTO$$$$","1","N","Y"
